"geographicAreaM49","foodDemand","foodFunction","elasticity","foodCommodity"
"496","1","2",0.3,"2511"
"496","4","0",0,"2513"
"496","3","2",0.499,"2514"
"496","5","2",0.499,"2516"
"496","6","0",0,"2517"
"496","7","2",0.499,"2518"
"496","9","2",0.3,"2531"
"496","11","2",0.499,"2532"
"496","10","2",0.499,"2533"
"496","14","2",0.499,"2534"
"496","12","2",0.499,"2535"
"496","16","2",0.499,"2541"
"496","15","2",1.3,"2542"
"496","22","2",0.499,"2611"
"496","23","2",0.499,"2612"
"496","25","2",0.499,"2615"
"496","13","2",0.499,"2616"
"496","44","2",0.499,"2630"
"496","43","2",0.499,"2633"
"496","45","2",0.3,"2635"
"496","47","2",0.499,"2655"
"496","48","2",0.8,"2656"
"496","27","2",0.8,"2731"
"496","28","2",0.8,"2732"
"496","29","2",0.6,"2733"
"496","30","2",1,"2734"
"496","31","2",0.8,"2735"
"496","32","2",0.499,"2736"
"496","41","2",0.6,"2737"
"496","38","2",1,"2740"
"496","39","2",0.499,"2743"
"496","33","1",1.2,"2744"
"496","2","2",0.25,"2805"
"496","37","2",0.8,"2848"
"496","18","2",0.2,"2911"
"496","19","2",0.499,"2912"
"496","20","2",0.499,"2913"
"496","40","2",0.6,"2914"
"496","21","2",0.5,"2918"
"496","26","2",0.9,"2919"
"496","42","2",0.7,"2923"
"496","46","2",0.499,"2928"
"496","24","2",0.499,"2613"
"496","24","2",0.499,"2614"
"496","34","1",1,"2761"
"496","34","1",1,"2762"
"496","34","1",1,"2763"
"496","34","1",1,"2764"
"496","35","2",0.499,"2765"
"496","35","2",0.499,"2766"
"496","35","2",0.499,"2767"
"496","36","2",0.499,"2768"
"496","36","2",0.499,"2769"
"496","36","2",0.499,"2775"
"496","49","2",0.8,"2657"
"496","49","2",0.8,"2658"
"496","8","2",0.499,"2520"
"496","8","2",0.499,"2515"
"496","17","1",1,"2543"
"496","17","1",1,"2537"
"496","17","1",1,"2536"
"496","17","1",1,"2745"
"496","26","2",0.9,"2919"
