"CPCCode","Commodity","Input Code","Input","Productivity Code","Productivity","Output Code","Output"
"02199.20","Other live animals, n.e.","5315","Slaughtered/Prod Animals [head]","5417","Yield/Carcass Weigth [kg/head]","5111","Stocks [head]"
"02211","Raw milk of cattle","5318","Milk Animals [head]","5417","Yield/Carcass Weigth [kg/head]","5510","Production [t]"
"02212","Raw milk of buffalo","5318","Milk Animals [head]","5417","Yield/Carcass Weigth [kg/head]","5510","Production [t]"
"02291","Raw milk of sheep","5318","Milk Animals [head]","5417","Yield/Carcass Weigth [kg/head]","5510","Production [t]"
"02292","Raw milk of goats","5318","Milk Animals [head]","5417","Yield/Carcass Weigth [kg/head]","5510","Production [t]"
"02293","Raw milk of camel","5318","Milk Animals [head]","5417","Yield/Carcass Weigth [kg/head]","5510","Production [t]"
"02941","Shorn wool, greasy, including fleece-washed shorn wool","5319","Prod Popultn [head]","5417","Yield/Carcass Weigth [kg/head]","5510","Production [t]"
"02944","Silk-worm cocoons suitable for reeling","5319","Prod Popultn [head]","5417","Yield/Carcass Weigth [kg/head]","5510","Production [t]"
"39110.01","Hair of horses","5319","Prod Popultn [head]","5417","Yield/Carcass Weigth [kg/head]","5510","Production [t]"
"02920","Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails","5320","Slaughtered/Prod Animals [head]","5417","Yield/Carcass Weigth [kg/head]","5510","Production [t]"
"02953.01","Raw hides and skins of sheep or lambs, with wool","5320","Slaughtered/Prod Animals [head]","5417","Yield/Carcass Weigth [kg/head]","5510","Production [t]"
"21111.01","Meat of cattle with the bone, fresh or chilled","5320","Slaughtered/Prod Animals [head]","5417","Yield/Carcass Weigth [kg/head]","5510","Production [t]"
"21112","Meat of buffalo, fresh or chilled","5320","Slaughtered/Prod Animals [head]","5417","Yield/Carcass Weigth [kg/head]","5510","Production [t]"
"21113.01","Meat of pig with the bone, fresh or chilled","5320","Slaughtered/Prod Animals [head]","5417","Yield/Carcass Weigth [kg/head]","5510","Production [t]"
"21115","Meat of sheep, fresh or chilled","5320","Slaughtered/Prod Animals [head]","5417","Yield/Carcass Weigth [kg/head]","5510","Production [t]"
"21116","Meat of goat, fresh or chilled","5320","Slaughtered/Prod Animals [head]","5417","Yield/Carcass Weigth [kg/head]","5510","Production [t]"
"21117.01","Meat of camels, fresh or chilled","5320","Slaughtered/Prod Animals [head]","5417","Yield/Carcass Weigth [kg/head]","5510","Production [t]"
"21117.02","Meat of other domestic camelids, fresh or chilled","5320","Slaughtered/Prod Animals [head]","5417","Yield/Carcass Weigth [kg/head]","5510","Production [t]"
"21118.01","Horse meat, fresh or chilled","5320","Slaughtered/Prod Animals [head]","5417","Yield/Carcass Weigth [kg/head]","5510","Production [t]"
"21118.02","Meat of asses, fresh or chilled","5320","Slaughtered/Prod Animals [head]","5417","Yield/Carcass Weigth [kg/head]","5510","Production [t]"
