"code","description","selectionOnly","type","startDate","endDate"
"Tree","CPC Hierarchy",FALSE,NA,NA,NA
"H_INDUSE_BIOFUEL","Biofuel items",FALSE,NA,NA,NA
"F9999","List Of Lists",FALSE,NA,NA,NA
"F9994","Items By Domain",FALSE,NA,NA,NA
"F9993","List Of Items",FALSE,NA,NA,NA
"F9992","Item Trees",FALSE,NA,NA,NA
"F9991","Agricultural Productions",FALSE,NA,NA,NA
"F9990","Agricultural Resources",FALSE,NA,NA,NA
"F9989","ESCR Items",FALSE,NA,NA,NA
"F9988","FBS Supply",FALSE,NA,NA,NA
"F9987","FBS Demand",FALSE,NA,NA,NA
"F9986","FBS Items",FALSE,NA,NA,NA
"F9985","CBS Items",FALSE,NA,NA,NA
"F9984","CBD Items",FALSE,NA,NA,NA
"F9983","CB Items",FALSE,NA,NA,NA
"F9982","CO3 Items",FALSE,NA,NA,NA
"F9981","SUA Items",FALSE,NA,NA,NA
"F9660","TINCrops.PrimDerived",FALSE,NA,NA,NA
"F9640","FBSFBS",FALSE,NA,NA,NA
"F9621","ProducerPricesLive.Prim",FALSE,NA,NA,NA
"F9620","ProdPricesCP",FALSE,NA,NA,NA
"F9610","SUAProd.Crops.Prim",FALSE,NA,NA,NA
"F9600","FoodAidFoodAid",FALSE,NA,NA,NA
"F9582","SUAPopulation.LTS",FALSE,NA,NA,NA
"F9581","SUAPopulation.LTI",FALSE,NA,NA,NA
"F9574","FCAquaPlants",FALSE,NA,NA,NA
"F9573","FCPearlsCoralsSponges",FALSE,NA,NA,NA
"F9571","FCAquaMammals",FALSE,NA,NA,NA
"F9570","FCFC",FALSE,NA,NA,NA
"F9560","PINCrops.Prim",FALSE,NA,NA,NA
"F9544","LUIPesticides",FALSE,NA,NA,NA
"F9543","LUIFertilizers",FALSE,NA,NA,NA
"F9542","LUIIrrigation",FALSE,NA,NA,NA
"F9541","LUILandUse",FALSE,NA,NA,NA
"F9540","LUIMachinery",FALSE,NA,NA,NA
"F9532","FS C and NPL",FALSE,NA,NA,NA
"F9531","FS C and PL",FALSE,NA,NA,NA
"F9530","FS C and P",FALSE,NA,NA,NA
"F9522","CBDCBD.NonPrimLiveProd",FALSE,NA,NA,NA
"F9521","CBDCBD.PrimLiveProd",FALSE,NA,NA,NA
"F9520","CBDCBD.CropsAndProducts",FALSE,NA,NA,NA
"F9518","LUIPesticidesConsumption",FALSE,NA,NA,NA
"F9517","SUASua.Live.Derived",FALSE,NA,NA,NA
"F9516","SUASua.Live.Prim",FALSE,NA,NA,NA
"F9515","SUASua.Live.Stocks",FALSE,NA,NA,NA
