"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus"
"894","5113","0111","2013",27000,"T"
"894","5113","0111","2012",36000,"T"
"894","5113","0111","2011",20000,"T"
"894","5113","0111","2010",33000,"T"
"894","5510","0111","2013",273584,""
"894","5510","0111","2012",253522,""
"894","5510","0111","2011",237332,""
"894","5510","0111","2010",172256,""
"894","5610","0111","2013",14,"T"
"894","5610","0111","2012",30,""
"894","5610","0111","2011",16119,""
"894","5610","0111","2010",4,"T"
"894","5071","0111","2013",44000,"T"
"894","5071","0111","2012",-9000,"T"
"894","5071","0111","2011",16000,"T"
"894","5071","0111","2010",-13000,"T"
"894","5910","0111","2013",1784,""
"894","5910","0111","2012",90,""
"894","5910","0111","2011",0,""
"894","5910","0111","2010",3016,""
"894","5520","0111","2013",0,"E"
"894","5520","0111","2012",1429.273511,"E"
"894","5520","0111","2011",696.182898,"E"
"894","5520","0111","2010",1125.754613,"E"
"894","5525","0111","2013",2961.173437,"E"
"894","5525","0111","2012",2744.029666,"E"
"894","5525","0111","2011",2568.79501,"E"
"894","5525","0111","2010",1864.43612,"E"
"894","5016","0111","2013",5605.293333,"E"
"894","5016","0111","2012",5194.604256,"E"
"894","5016","0111","2011",5192.535035,"E"
"894","5016","0111","2010",3529.147982,"E"
"894","5023","0111","2013",219611.01292,"E"
"894","5023","0111","2012",253094.092567,"E"
"894","5023","0111","2011",228993.487057,"E"
"894","5023","0111","2010",175724.661285,"E"
"894","5166","0111","2013",-363,"I"
"894","5510","23110","2013",175688.81,"I"
"894","5510","23110","2012",202475.27,"I"
"894","5510","23110","2011",183194.79,"I"
"894","5510","23110","2010",140579.73,"I"
"894","5610","23110","2013",63,""
"894","5610","23110","2012",19352,""
"894","5610","23110","2011",224,""
"894","5610","23110","2010",115,"T"
"894","5910","23110","2013",55071,""
"894","5910","23110","2012",49834,""
"894","5910","23110","2011",45073,""
"894","5910","23110","2010",43705,""
"894","5023","23110","2013",35000,"E"
"894","5023","23110","2012",29500,"E"
"894","5023","23110","2011",18500,"E"
"894","5023","23110","2010",3500,"E"
"894","5141","23110","2013",85680.81,"E"
"894","5141","23110","2012",142493.27,"E"
"894","5141","23110","2011",119845.79,"E"
"894","5141","23110","2010",93489.73,"E"
"894","261","23110","2013",295598.7945,"T"
"894","261","23110","2012",491601.7815,"T"
"894","261","23110","2011",413467.9755,"T"
"894","261","23110","2010",322539.5685,"T"
"894","271","23110","2013",9339.20829,"T"
"894","271","23110","2012",15531.76643,"T"
"894","271","23110","2011",13063.19111,"T"
"894","271","23110","2010",10190.38057,"T"
"894","281","23110","2013",1370.89296,"T"
"894","281","23110","2012",2279.89232,"T"
"894","281","23110","2011",1917.53264,"T"
"894","281","23110","2010",1495.83568,"T"
"894","664","23110","2013",53.157925,"T"
"894","664","23110","2012",91.345231,"T"
"894","664","23110","2011",79.405842,"T"
"894","664","23110","2010",64.0708,"T"
"894","674","23110","2013",1.679482,"T"
"894","674","23110","2012",2.88598,"T"
"894","674","23110","2011",2.508764,"T"
"894","674","23110","2010",2.024266,"T"
"894","684","23110","2013",0.24653,"T"
"894","684","23110","2012",0.42363,"T"
"894","684","23110","2011",0.368259,"T"
"894","684","23110","2010",0.29714,"T"
"894","665","23110","2013",15.408094,"T"
"894","665","23110","2012",26.476879,"T"
"894","665","23110","2011",23.016186,"T"
"894","665","23110","2010",18.571246,"T"
"894","5510","39120.01","2013",32941.65,"I"
"894","5510","39120.01","2012",37964.11,"I"
"894","5510","39120.01","2011",34349.02,"I"
"894","5510","39120.01","2010",26358.7,"I"
"894","5610","39120.01","2013",7,""
"894","5610","39120.01","2012",284,""
"894","5610","39120.01","2011",8,""
"894","5610","39120.01","2010",0,"M"
"894","5910","39120.01","2013",11359,"T"
"894","5910","39120.01","2012",8406,"T"
"894","5910","39120.01","2011",5059,""
"894","5910","39120.01","2010",4545,""
"894","5520","39120.01","2013",21589.65,"E"
"894","5520","39120.01","2012",29842.11,"E"
