"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus"
"894","5910","0111","2014",8918.75505,""
"894","5910","0112","2014",95442.820927,""
"894","5910","0113","2014",284.930936,""
"894","5910","0114","2014",6.127367,"I"
"894","5910","0115","2014",18526.5,""
"894","5910","0117","2014",0.48,""
"894","5910","0118","2014",0.8,""
"894","5910","01199.90","2014",240.944,""
"894","5910","01212","2014",1.22,""
"894","5910","01213","2014",6.62067,""
"894","5910","01234","2014",0.074,""
"894","5910","01235","2014",1.391979,""
"894","5910","01241.90","2014",2036.871702,""
"894","5910","01242","2014",2.134,""
"894","5910","01243","2014",1.7,""
"894","5910","01252","2014",1.4005,""
"894","5910","01253.02","2014",4.038957,""
"894","5910","01270","2014",1.350767,""
"894","5910","01290.90","2014",17.462,""
"894","5910","01311","2014",0.563,""
"894","5910","01312","2014",0.07,""
"894","5910","01323","2014",12,""
"894","5910","01329","2014",18,""
"894","5910","01330","2014",235.271306,""
"894","5910","01359.90","2014",6.305286,""
"894","5910","01371","2014",0.2,""
"894","5910","01375","2014",0.01,""
"894","5910","01377","2014",0.1,""
"894","5910","0141","2014",25875.25304,""
"894","5910","0142","2014",2529.644499,""
"894","5910","0143","2014",8552.947957,""
"894","5910","01441","2014",0.005,""
"894","5910","01445","2014",59.7,""
"894","5910","01449.90","2014",28.0155,""
"894","5910","01492","2014",27,""
"894","5910","01510","2014",191.609936,""
"894","5910","01520.02","2014",0.1,""
"894","5910","01530","2014",76.88675,""
"894","5910","01540","2014",0.41,""
"894","5910","01599.10","2014",31.897,""
"894","5910","01610","2014",207.5939,""
"894","5910","01620","2014",1.5013,""
"894","5910","01640","2014",3.42,""
"894","5910","01651","2014",1.504116,"I"
"894","5910","01654","2014",0.104,""
"894","5910","01699","2014",62.8135,""
"894","5910","01701","2014",4226.04,""
"894","5910","01705","2014",2.62,""
"894","5910","01706","2014",97.6,""
"894","5910","01709.90","2014",0.045,""
"894","5910","01919.96","2014",0.8,""
"894","5910","01921.02","2014",38289.17256,""
"894","5910","01950.01","2014",2.130979,""
"894","5910","01950.02","2014",0.795,""
"894","5910","01970","2014",32080.541039,""
"894","5910","01990.01","2014",0.306,""
"894","5910","02211","2014",984.295,""
"894","5910","0231","2014",663.823091,""
"894","5910","0232","2014",20.02,""
"894","5910","02910","2014",163.778605,""
"894","5910","02951.05","2014",0.014,""
"894","5910","02959.30","2014",65.479,""
"894","5910","02959.99","2014",2317.295,""
"894","5910","02960.02","2014",0.001,""
"894","5910","17400","2014",177.847,""
"894","5910","21111.01","2014",4.043,""
"894","5910","21111.02","2014",17.629957,""
"894","5910","21113.01","2014",3.73,""
"894","5910","21115","2014",4.337957,""
"894","5910","21121","2014",7.299957,""
"894","5910","21170.92","2014",3.4007,""
"894","5910","21181","2014",22.16007,""
"894","5910","21182","2014",0.081253,""
"894","5910","21183","2014",17.87505,""
"894","5910","21184.02","2014",3.886979,""
"894","5910","21190.01","2014",1464.85,""
"894","5910","21291","2014",240,""
"894","5910","21319.01","2014",2.603957,""
"894","5910","21330.90","2014",1.595,""
"894","5910","21340","2014",221.76158,""
"894","5910","21392","2014",943.451465,""
"894","5910","21419.91","2014",37.069,""
"894","5910","21419.99","2014",790.793,""
"894","5910","21421","2014",1030.84,""
"894","5910","21431.01","2014",594.795079,""
"894","5910","21432","2014",0.357,""
"894","5910","21439.9","2014",1255.932369,""
"894","5910","21495.02","2014",31.5039,""
"894","5910","21511.03","2014",5.740007,""
"894","5910","21512","2014",0.65,""
"894","5910","2162","2014",21.738,""
"894","5910","21631.01","2014",212.487936,""
"894","5910","21641.01","2014",0.0155,""
"894","5910","2165","2014",131.74,""
"894","5910","2167","2014",0.56791,""
"894","5910","21673","2014",9467.35659,""
"894","5910","2168","2014",25,""
"894","5910","21700.02","2014",17.962957,""
"894","5910","21800","2014",4420.896,""
"894","5910","21910.03","2014",36377.156776,""
"894","5910","21910.07","2014",1937.31,""
"894","5910","21910.15","2014",15351.073227,""
"894","5910","21910.16","2014",95,""
"894","5910","21910.90","2014",6584.96,""
"894","5910","21920","2014",16691.628,""
"894","5910","21931","2014",32.355,""
"894","5910","22110.01","2014",1.2,""
"894","5910","22110.02","2014",54.343,""
"894","5910","22211","2014",42.857958,""
"894","5910","22212","2014",34.36,""
"894","5910","22221.01","2014",10.934979,""
"894","5910","22222.01","2014",74.717757,""
"894","5910","22230.02","2014",110.981557,""
"894","5910","22230.04","2014",0.58,""
"894","5910","22241.01","2014",49.727979,""
"894","5910","22241.02","2014",1.5,""
"894","5910","22251.01","2014",18.457377,""
"894","5910","22260","2014",0.02,""
"894","5910","22290","2014",0.005,""
"894","5910","23110","2014",52615.493864,""
"894","5910","23120.03","2014",356.48,""
"894","5910","23120.90","2014",1862.995787,""
"894","5910","23140.01","2014",3.033957,""
"894","5910","23140.03","2014",1206.116543,""
"894","5910","23140.08","2014",9321.08865,""
"894","5910","23161.02","2014",19.25,""
"894","5910","23161.03","2014",45.141979,""
"894","5910","23170.01","2014",10.817,""
"894","5910","23170.04","2014",0.04,""
"894","5910","23180","2014",2.9005,""
"894","5910","23210.02","2014",0.01,""
"894","5910","23210.03","2014",0.2,""
"894","5910","23210.04","2014",34,""
"894","5910","23210.05","2014",58,""
"894","5910","23220.05","2014",0.6,""
"894","5910","23220.06","2014",30.02,""
"894","5910","23311","2014",0.26177,""
"894","5910","2351f","2014",207680.71206,""
"894","5910","23520","2014",15340.80858,""
"894","5910","23530","2014",0.24,""
"894","5910","23540","2014",72706.561796,""
"894","5910","23610.01","2014",0.001,""
"894","5910","23670.01","2014",6570.577077,""
"894","5910","23670.02","2014",49.167,""
"894","5910","23911","2014",1.35,""
"894","5910","23912.01","2014",0.05,""
"894","5910","23912.02","2014",51.46,""
"894","5910","23914","2014",27,""
"894","5910","23991.01","2014",7.5,""
"894","5910","23991.03","2014",0.005,""
"894","5910","23991.04","2014",0.32013,""
"894","5910","23993.02","2014",2.6,""
"894","5910","23999.02","2014",153.85,""
"894","5910","24110","2014",30.746,""
"894","5910","2413","2014",683.10951,""
"894","5910","24212.02","2014",49.320259,""
"894","5910","24220","2014",0.49814,""
"894","5910","24230.03","2014",151.366229,""
"894","5910","24310.01","2014",238.921123,""
"894","5910","24320","2014",466,""
"894","5910","24490","2014",13444.999698,""
"894","5910","25020.01","2014",57.726369,""
"894","5910","25020.02","2014",0.14166,""
"894","5910","25090","2014",0.058,""
"894","5910","26160","2014",2879.638,""
"894","5910","34120","2014",1,""
"894","5910","34550","2014",25315.4,""
"894","5910","35410.90","2014",2.34,""
"894","5910","39120.01","2014",3085.92,""
"894","5910","39120.04","2014",50544.783851,""
"894","5910","39120.13","2014",62,""
"894","5910","39120.14","2014",204.96,""
"894","5910","39120.91","2014",90,""
"894","5910","39130.04","2014",60,""
"894","5910","39150.02","2014",0.172,""
"894","5910","39170.01","2014",12421.825,""
"894","5910","F0022","2014",5640.699452,""
"894","5910","F0472","2014",218.303299,""
"894","5910","F0473","2014",974.433,""
"894","5910","F0475","2014",0.451,""
"894","5910","F0623","2014",1.361,""
"894","5910","F0665","2014",0.576,""
"894","5910","F0666","2014",280.11417,""
"894","5910","F0769","2014",157.5,""
"894","5910","F0875","2014",0.03,""
"894","5910","F0994","2014",1.44,""
"894","5910","F1042","2014",0.03,""
"894","5910","F1061","2014",0.0984,""
"894","5910","F1232","2014",8236.660269,""
"894","5910","F1243","2014",696.655,""
"894","5910","F1275","2014",1649.688915,""
"894","5910","F1294","2014",163.97115,""
"894","5910","0111","2015",21,""
"894","5910","0112","2015",722774.87275,""
"894","5910","0114","2015",0.5,""
"894","5910","0115","2015",5343.364,""
"894","5910","01199.90","2015",288.725,""
"894","5910","01216","2015",1.845,""
"894","5910","01231","2015",0.001,""
"894","5910","01234","2015",1.5,""
"894","5910","01241.90","2015",89.13344,""
"894","5910","01242","2015",168.761,""
"894","5910","01252","2015",2.75,""
"894","5910","01253.02","2015",12.5,""
"894","5910","01270","2015",26.978,""
"894","5910","01290.90","2015",159.716609,""
"894","5910","01312","2015",1.089,""
"894","5910","01323","2015",3,""
"894","5910","01330","2015",185.16,""
"894","5910","01359.90","2015",109.971,""
"894","5910","01379.90","2015",19.75,""
"894","5910","0141","2015",11822.506,""
"894","5910","0142","2015",972.22458,""
"894","5910","0143","2015",8417.27,""
"894","5910","01445","2015",445,""
"894","5910","01449.90","2015",23.7,""
"894","5910","01510","2015",116.899,""
"894","5910","01530","2015",32.8376,""
"894","5910","01599.10","2015",2466.2962,""
"894","5910","01610","2015",111.684,""
"894","5910","01620","2015",0.331,""
"894","5910","01651","2015",5.78,""
"894","5910","01659","2015",14,""
"894","5910","01699","2015",41.13001,""
"894","5910","01701","2015",7262.7,""
"894","5910","01703","2015",0.15,""
"894","5910","01706","2015",351.55,""
"894","5910","01707","2015",55.72,""
"894","5910","01709.90","2015",1513.7575,""
"894","5910","01921.02","2015",36727.953922,""
"894","5910","01950.02","2015",5.7,""
"894","5910","01970","2015",26090.322406,""
"894","5910","02211","2015",64.792,""
"894","5910","0231","2015",572.786,""
"894","5910","0232","2015",26.78,""
"894","5910","02910","2015",511.9061,""
"894","5910","02951.05","2015",236.89,""
"894","5910","02953.01","2015",83.54,""
"894","5910","02959.30","2015",61.989,""
"894","5910","02959.99","2015",1083.902,""
"894","5910","02960.02","2015",26.1,""
"894","5910","03219.01","2015",3.6229,""
"894","5910","17400","2015",134.593,""
"894","5910","21111.01","2015",5.7264,""
"894","5910","21113.01","2015",1.7188,""
"894","5910","21115","2015",0.03,""
