"item_parent","item_child","global_er"
"0111","23110","0.79"
"0111","23140.01","0.02"
"0111","23140.02","0.95"
"0111","23140.03","0.85"
"0111","23140.08","0.85"
"0111","24110","0.28"
"0111","2413","0.68"
"0111","24320","0.73"
"0111","39120.01","0.18"
"0112","23120.03","0.82"
"0112","23140.03","0.85"
"0112","23140.06","0.06"
"0112","23140.08","0.85"
"0112","24110","0.35"
"0112","2413","0.56"
"0112","24310.02","5.5"
"0112","39120.04","0.11"
"0113","23161.02","0.67"
"0113","23162","0.77"
"0114","23120.06","0.9"
"0114","24310.04","4.85"
"0114","39120.08","0.08"
"0115","23140.04","0.72"
"0115","23912.01","0.1224"
"0115","24320","0.73"
"0115","39120.03","0.19"
"0116","23120.04","0.8"
"0116","23912.01","0.1163"
"0116","24110","0.27"
"0116","2413","0.645"
"0116","39120.05","0.17"
"0116","F0020","0.1365"
"0117","23140.07","0.53"
"0117","39120.06","0.2"
"0118","23120.05","0.86"
"0118","24310.03","4.5"
"0118","39120.07","0.1"
"01191","23120.09","0.75"
"01191","39120.11","0.23"
"01192","23120.07","0.75"
"01192","39120.09","0.2"
"01193","23120.08","0.8"
"01193","39120.10","0.15"
"01194","23120.90","0.1291"
"01195","23120.90","0.1548"
"01199.02","23120.10","0.8"
"01199.02","24110","0.275"
"01199.02","2413","0.65"
"01199.90","23120.90","0.2949"
"01211","21330.90","0.0933"
"01211","21340","0.1328"
"01211","F0472","0.1057"
"01211","F0473","0.1009"
"01212","21330.90","0.1333"
"01212","21340","0.1814"
"01212","F0472","0.134"
"01213","21330.90","0.0976"
"01213","21340","0.1408"
"01213","F0472","0.099"
"01213","F0473","0.1143"
"01215","21330.90","0.1051"
"01215","F0473","0.1056"
"01216","21330.90","0.1046"
"01216","21340","0.1164"
"01216","F0472","0.0955"
"01216","F0473","0.0861"
"01231","21330.90","0.1075"
"01231","21340","0.1573"
"01231","F0472","0.0926"
"01232","21330.90","0.1246"
"01232","21340","0.1814"
"01232","F0472","0.1178"
"01233","21330.90","0.1035"
"01233","21340","0.1076"
"01233","21393.90","0.0247"
"01233","F0472","0.08"
"01234","21321","0.3"
"01234","21329","0.1439"
"01234","21399.01","0.1095"
"01234","21399.02","0.2692"
"01234","F0472","0.1076"
"01235","21330.90","0.09"
"01235","21340","0.1183"
"01235","F0472","0.1015"
"01235","F0473","0.1226"
"01241.01","21330.90","0.1076"
"01241.01","21340","0.1076"
"01241.01","F0472","0.0989"
"01241.01","F0473","0.1109"
"01241.90","21330.90","0.0998"
"01241.90","21340","0.1259"
"01241.90","F0472","0.1117"
"01241.90","F0473","0.1126"
"01242","21330.90","0.0956"
"01242","21340","0.1555"
"01242","F0472","0.1148"
"01242","F0473","0.1263"
"01243","21330.90","0.0861"
"01243","21340","0.0933"
"01243","F0472","0.0897"
"01243","F0473","0.0969"
"01251","21329","0.143"
"01251","21330.90","0.1072"
"01251","21340","0.1343"
"01251","21393.90","0.0238"
"01251","F0472","0.1154"
"01252","21393.90","0.0297"
"01253.01","21330.90","0.0867"
"01253.01","21340","0.1295"
"01253.01","F0472","0.1009"
"01253.02","21330.90","0.104"
"01253.02","21340","0.1501"
"01253.02","21393.90","0.0311"
"01253.02","F0472","0.1094"
"01253.02","F0473","0.1349"
"01270","21340","0.1186"
"01270","21393.01","0.26"
"01270","21397.01","0.2628"
"01270","F0472","0.0863"
"01290.01","21319.01","0.1807"
"01290.01","21330.90","0.1078"
"01290.01","21399.03","0.1566"
"01290.01","F0473","0.1155"
"01290.90","21329","0.1625"
"01290.90","21330.90","0.2906"
"01290.90","21340","0.318"
"01290.90","21393.90","0.0841"
"01290.90","23991.02","0.2317"
"01290.90","F0472","0.2648"
"01290.90","F0473","0.3005"
"01290.90","F0475","0.343"
"01311","F0623","0.0942"
"01312","21419.91","0.0522"
"01312","21419.99","0.0359"
"01312","23170.04","0.0503"
"01312","24230.03","0.101"
"01312","F0623","0.0811"
"01313","24230.03","0.1074"
"01314","21419.91","0.0749"
"01314","21419.99","0.0419"
"01314","F0623","0.0963"
"01315","21419.02","0.35"
"01315","21419.99","0.0373"
"01315","F0623","0.0834"
"01316","21439.08","0.1"
"01316","21499.01","0.55"
"01316","F0623","0.0917"
"01318","21433","0.2"
"01318","21433.01","0.0354"
"01318","21491","0.52"
"01318","F0623","0.0744"
"01319","21419.91","0.0608"
"01319","21419.99","0.036"
"01319","23170.04","0.0403"
"01319","24230.03","0.0915"
"01319","F0623","0.1182"
"01321","21432","0.47"
"01321","21432.01","0.14"
"01321","21439.05","0.0347"
"01321","F0623","0.0725"
"01322","21439.02","0.39"
"01322","21439.03","0.0415"
"01322","21439.05","0.0461"
"01322","F0623","0.0905"
"01323","21431.01","0.224"
"01323","21431.02","0.1"
"01323","21439.05","0.0445"
"01323","F0623","0.0875"
"01324","21439.01","0.0205"
"01324","21439.05","0.0495"
"01324","F0623","0.1043"
"01329","21439.05","0.0464"
"01329","F0623","0.0983"
"01330","21411","0.25"
"01330","21434","0.75"
"01330","24212.01","0.1844"
"01330","24212.02","0.7"
"01330","F0623","0.0927"
"01341","21419.99","0.051"
"01341","21435.01","0.2558"
"01341","21435.02","0.0918"
"01341","23670.02","0.0713"
"01341","23991.03","0.2224"
"01341","24230.03","0.2206"
"01341","F0623","0.1559"
"01342.01","21419.99","0.0374"
"01342.01","23670.02","0.0713"
"01342.01","23991.03","0.2043"
"01342.01","24230.03","0.1632"
"01342.01","F0623","0.1135"
"01342.02","F0623","0.0853"
"01343","21419.01","0.29"
"01343","23670.02","0.0619"
"01343","23991.03","0.1753"
"01343","F0623","0.1277"
"01344.01","F0623","0.0888"
"01344.02","21419.99","0.0358"
"01344.02","23670.02","0.0592"
"01344.02","23991.03","0.1568"
"01344.02","F0623","0.0899"
"01345","21419.99","0.0474"
"01345","23670.02","0.07"
"01345","23991.03","0.1891"
"01345","F0623","0.1171"
"01346","21412","0.35"
"01346","21439.07","0.017"
"01346","23670.02","0.0605"
"01346","23991.03","0.1629"
"01346","F0623","0.0902"
"01349.20","21419.99","0.0225"
"01349.20","F0623","0.0821"
"01351.01","F0623","0.0676"
"01351.02","F0623","0.0619"
"01353.01","F0623","0.071"
"01354","F0623","0.1072"
"01355.90","F0623","0.1069"
"01359.90","21419.99","0.0755"
"01359.90","23170.04","0.0598"
"01359.90","24230.03","0.1139"
"01359.90","F0623","0.1822"
"01371","21422","0.1486"
"01372","21424","0.0707"
"01374","21423","0.1561"
"01375","F0235","0.9"
"01376","21429.02","0.1661"
"01377","21429.01","0.1209"
"01379.90","F0235","0.9"
"0141","2161","0.18"
"0141","21910.03","0.79"
"0141","21920","0.1834"
"0141","23995.01","3.5"
"0141","23995.02","4.5"
"0141","23999.03","3.75"
"0142","21421","0.7"
"0143","2168","0.16"
"0143","21910.15","0.51"
"01441","21691.12","0.35"
"01441","21910.16","0.63"
"01442","21641.02","0.36"
"01442","21910.12","0.6"
"01442","21920","0.1459"
"01442","23995.03","0.2673"
"01443","21641.01","0.38"
"01443","21910.08","0.6"
"01443","21920","0.1302"
"01444","21691.07","0.43"
"01444","21910.11","0.51"
"01445","21631.01","0.41"
"01445","21910.07","0.47"
"01447","21691.04","0.4"
"01449.90","21920","0.1849"
"01450","2167","0.2"
"01450","F0262","0.2906"
"01460","01492","0.0878"
"01460","1492","0.21"
"01460","21429.07","0.2"
"01491.01","01491.02","0.06"
"01491.01","2165","0.19"
"01491.02","21691.14","0.46"
"01491.02","21910.06","0.52"
"01492","2166","0.61"
"01492","21910.05","0.37"
"01499.01","21691.03","0.061"
"01499.04","21691.09","0.15"
"01499.04","21691.10","0.15"
"01499.05","01499.06","0.3566"
"01499.05","1499.06","0.66"
"01499.05","1929.03","0.33"
"01499.06","01499.07","0.3458"
"01499.06","1499.07","0.7"
"01499.07","21691.11","0.2"
"01499.07","21910.14","0.8"
"01510","21313","0.5"
"01510","21392","0.2"
