"geographicAreaM49","measuredElementSuaFbs","measuredItemParentCPC","measuredItemChildCPC","timePointYears","shareUpDown"
894,"shareUpDown","0111","23110",2022,1
894,"shareUpDown","0111","23110",2021,1
894,"shareUpDown","0111","23110",2020,1
894,"shareUpDown","0111","23110",2019,1
894,"shareUpDown","0111","23110",2018,1
894,"shareUpDown","0111","23110",2017,1
894,"shareUpDown","0111","23110",2016,1
894,"shareUpDown","0111","23110",2015,1
894,"shareUpDown","0111","23110",2014,1
894,"shareUpDown","0111","23110",2013,1
894,"shareUpDown","0111","23110",2012,1
894,"shareUpDown","0111","23110",2011,1
894,"shareUpDown","0111","23110",2010,1
894,"shareUpDown","0111","23110",2009,1
894,"shareUpDown","0111","23110",2008,1
894,"shareUpDown","0111","23110",2007,1
894,"shareUpDown","0111","23110",2006,1
894,"shareUpDown","0111","23110",2005,1
894,"shareUpDown","0111","23110",2004,1
894,"shareUpDown","0111","23110",2003,1
894,"shareUpDown","0111","23110",2002,1
894,"shareUpDown","0111","23110",2001,1
894,"shareUpDown","0111","23110",2000,1
894,"shareUpDown","0111","23140.01",2022,1
894,"shareUpDown","0111","23140.01",2021,1
894,"shareUpDown","0111","23140.01",2020,1
894,"shareUpDown","0111","23140.01",2019,1
894,"shareUpDown","0111","23140.01",2018,1
894,"shareUpDown","0111","23140.01",2017,1
894,"shareUpDown","0111","23140.01",2016,1
894,"shareUpDown","0111","23140.01",2015,1
894,"shareUpDown","0111","23140.01",2014,1
894,"shareUpDown","0111","23140.01",2013,1
894,"shareUpDown","0111","23140.01",2012,1
894,"shareUpDown","0111","23140.01",2011,1
894,"shareUpDown","0111","23140.01",2010,1
894,"shareUpDown","0111","23140.01",2009,1
894,"shareUpDown","0111","23140.01",2008,1
894,"shareUpDown","0111","23140.01",2007,1
894,"shareUpDown","0111","23140.01",2006,1
894,"shareUpDown","0111","23140.01",2005,1
894,"shareUpDown","0111","23140.01",2004,1
894,"shareUpDown","0111","23140.01",2003,1
894,"shareUpDown","0111","23140.01",2002,1
894,"shareUpDown","0111","23140.01",2001,1
894,"shareUpDown","0111","23140.01",2000,1
894,"shareUpDown","0111","23140.02",2022,0
894,"shareUpDown","0111","23140.02",2021,0
894,"shareUpDown","0111","23140.02",2020,0
894,"shareUpDown","0111","23140.02",2019,0
894,"shareUpDown","0111","23140.02",2018,0
894,"shareUpDown","0111","23140.02",2017,0
894,"shareUpDown","0111","23140.02",2016,0
894,"shareUpDown","0111","23140.02",2015,0
894,"shareUpDown","0111","23140.02",2014,0
894,"shareUpDown","0111","23140.02",2013,0
894,"shareUpDown","0111","23140.02",2012,0
894,"shareUpDown","0111","23140.02",2011,0
894,"shareUpDown","0111","23140.02",2010,0
894,"shareUpDown","0111","23140.02",2009,0
894,"shareUpDown","0111","23140.02",2008,0
894,"shareUpDown","0111","23140.02",2007,0
894,"shareUpDown","0111","23140.02",2006,0
894,"shareUpDown","0111","23140.02",2005,0
894,"shareUpDown","0111","23140.02",2004,0
894,"shareUpDown","0111","23140.02",2003,0
894,"shareUpDown","0111","23140.02",2002,0
894,"shareUpDown","0111","23140.02",2001,0
894,"shareUpDown","0111","23140.02",2000,0
894,"shareUpDown","0111","23140.03",2022,0
894,"shareUpDown","0111","23140.03",2021,0
894,"shareUpDown","0111","23140.03",2020,0
894,"shareUpDown","0111","23140.03",2019,0
894,"shareUpDown","0111","23140.03",2018,0
894,"shareUpDown","0111","23140.03",2017,0
894,"shareUpDown","0111","23140.03",2016,0
894,"shareUpDown","0111","23140.03",2015,0
894,"shareUpDown","0111","23140.03",2014,0
894,"shareUpDown","0111","23140.03",2013,0
894,"shareUpDown","0111","23140.03",2012,0
894,"shareUpDown","0111","23140.03",2011,0
894,"shareUpDown","0111","23140.03",2010,0
894,"shareUpDown","0111","23140.03",2009,0
894,"shareUpDown","0111","23140.03",2008,0
894,"shareUpDown","0111","23140.03",2007,0
894,"shareUpDown","0111","23140.03",2006,0
894,"shareUpDown","0111","23140.03",2005,0
894,"shareUpDown","0111","23140.03",2004,0
894,"shareUpDown","0111","23140.03",2003,0
894,"shareUpDown","0111","23140.03",2002,0
894,"shareUpDown","0111","23140.03",2001,0
894,"shareUpDown","0111","23140.03",2000,0
894,"shareUpDown","0111","24110",2022,0
894,"shareUpDown","0111","24110",2021,0
