"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus","flagMethod"
"894","5113","0111","2022",35000,"T","h"
"894","5113","0111","2021",26000,"T","h"
"894","5113","0111","2020",18000,"T","h"
"894","5113","0111","2019",5000,"T","h"
"894","5113","0111","2018",21000,"T","h"
"894","5113","0111","2017",22000,"T","h"
"894","5113","0111","2016",49000,"T","h"
"894","5113","0111","2015",81000,"T","h"
"894","5113","0111","2014",71000,"T","h"
"894","5113","0111","2013",27000,"T","h"
"894","5113","0111","2012",36000,"T","h"
"894","5113","0111","2011",20000,"T","h"
"894","5113","0111","2010",33000,"T","h"
"894","5510","0111","2022",234924.6318,"","q"
"894","5510","0111","2021",205881.95,"","q"
"894","5510","0111","2020",191619.798611,"","q"
"894","5510","0111","2019",151850.466423,"","q"
"894","5510","0111","2018",114462.73144,"","q"
"894","5510","0111","2017",193713.154333,"","q"
"894","5510","0111","2016",159533,"","q"
"894","5510","0111","2015",214230,"","p"
"894","5510","0111","2014",201504,"","-"
"894","5510","0111","2013",273584,"","-"
"894","5510","0111","2012",253522,"","-"
"894","5510","0111","2011",237332,"","-"
"894","5510","0111","2010",172256,"","-"
"894","5610","0111","2022",38068.93584,"","s"
"894","5610","0111","2021",60566.13773,"","s"
"894","5610","0111","2020",51684.46,"","s"
"894","5610","0111","2019",31178.377,"","s"
"894","5610","0111","2018",30069.08538,"","s"
"894","5610","0111","2017",54350.28271,"","s"
"894","5610","0111","2016",5184.609,"","p"
"894","5610","0111","2015",41870.411,"","s"
"894","5610","0111","2014",1.302,"","s"
"894","5610","0111","2013",14,"T","-"
"894","5610","0111","2012",30,"","-"
"894","5610","0111","2011",16119,"","-"
"894","5610","0111","2010",4,"T","-"
"894","5071","0111","2022",24000,"T","h"
"894","5071","0111","2021",9000,"T","h"
"894","5071","0111","2020",8000,"T","h"
"894","5071","0111","2019",13000,"T","h"
"894","5071","0111","2018",-16000,"T","h"
"894","5071","0111","2017",-1000,"T","h"
"894","5071","0111","2016",-27000,"T","h"
"894","5071","0111","2015",-32000,"T","h"
"894","5071","0111","2014",10000,"T","h"
"894","5071","0111","2013",44000,"T","h"
"894","5071","0111","2012",-9000,"T","h"
"894","5071","0111","2011",16000,"T","h"
"894","5071","0111","2010",-13000,"T","h"
"894","5910","0111","2022",30,"","i"
"894","5910","0111","2021",944.4,"","s"
"894","5910","0111","2020",242.525,"","s"
"894","5910","0111","2015",21,"","s"
"894","5910","0111","2014",8918.75505,"","s"
"894","5910","0111","2013",1784,"","-"
"894","5910","0111","2012",90,"","-"
"894","5910","0111","2011",0,"","-"
"894","5910","0111","2010",3016,"","-"
"894","5520","0111","2022",0,"","q"
"894","5520","0111","2021",0,"","q"
"894","5520","0111","2020",0,"","q"
"894","5520","0111","2019",0,"E","f"
"894","5520","0111","2018",1626.024172,"E","-"
"894","5520","0111","2017",1789.285032,"E","-"
"894","5520","0111","2016",1983.045863,"E","-"
"894","5520","0111","2015",2781.08255,"E","-"
"894","5520","0111","2014",109.32938,"E","-"
"894","5520","0111","2013",0,"E","n"
"894","5520","0111","2012",1429.273511,"E","-"
"894","5520","0111","2011",696.182898,"E","-"
"894","5520","0111","2010",1125.754613,"E","-"
"894","5525","0111","2022",2167.806691,"I","e"
"894","5525","0111","2021",2003.007815,"I","e"
"894","5525","0111","2020",1837.292406,"I","e"
"894","5525","0111","2019",1620.633385,"I","e"
"894","5525","0111","2018",1238.902859,"E","e"
"894","5525","0111","2017",2096.680533,"E","e"
"894","5525","0111","2016",1726.727009,"E","e"
"894","5525","0111","2015",2318.747388,"E","e"
"894","5525","0111","2014",2181.005805,"E","e"
"894","5525","0111","2013",2961.173437,"E","e"
"894","5525","0111","2012",2744.029666,"E","e"
"894","5525","0111","2011",2568.79501,"E","e"
"894","5525","0111","2010",1864.43612,"E","e"
"894","5016","0111","2022",11746,"","q"
"894","5016","0111","2021",10294,"","q"
"894","5016","0111","2020",9581,"","q"
"894","5016","0111","2019",9107.569,"","q"
"894","5016","0111","2018",2961.07146,"E","e"
"894","5016","0111","2017",5082.158239,"E","e"
"894","5016","0111","2016",3374.624506,"E","e"
"894","5016","0111","2015",5246.814401,"E","e"
"894","5016","0111","2014",4128.306223,"E","e"
"894","5016","0111","2013",5605.293333,"E","e"
"894","5016","0111","2012",5194.604256,"E","e"
"894","5016","0111","2011",5192.535035,"E","e"
"894","5016","0111","2010",3529.147982,"E","e"
"894","5023","0111","2022",235984.445089,"E","i"
"894","5023","0111","2021",244147.282078,"E","i"
"894","5023","0111","2020",224453.12287,"E","i"
"894","5023","0111","2019",159301,"E","f"
"894","5023","0111","2018",154705.818329,"E","i"
"894","5023","0111","2017",240095.313239,"E","i"
"894","5023","0111","2016",184633.211622,"E","i"
"894","5023","0111","2015",277732.766661,"E","i"
"894","5023","0111","2014",176167.905542,"E","i"
"894","5023","0111","2013",219611.01292,"E","i"
"894","5023","0111","2012",253094.092567,"E","i"
"894","5023","0111","2011",228993.487057,"E","i"
"894","5023","0111","2010",175724.661285,"E","i"
"894","5166","0111","2022",-935,"I","i"
"894","5166","0111","2021",59,"I","i"
"894","5166","0111","2020",-810,"I","i"
"894","5166","0111","2019",0,"I","i"
