"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus","flagMethod"
"894","5510","S2511","2022",NA,NA,NA
"894","5510","S2511","2021",NA,NA,NA
"894","5510","S2511","2020",NA,NA,NA
"894","5510","S2511","2019",NA,NA,NA
"894","5510","S2511","2018",NA,NA,NA
"894","5510","S2511","2017",NA,NA,NA
"894","5510","S2511","2016",NA,NA,NA
"894","5510","S2511","2015",NA,NA,NA
"894","5510","S2511","2014",NA,NA,NA
"894","5610","S2511","2022",NA,NA,NA
"894","5610","S2511","2021",NA,NA,NA
"894","5610","S2511","2020",NA,NA,NA
"894","5610","S2511","2019",NA,NA,NA
"894","5610","S2511","2018",NA,NA,NA
"894","5610","S2511","2017",NA,NA,NA
"894","5610","S2511","2016",NA,NA,NA
"894","5610","S2511","2015",NA,NA,NA
"894","5610","S2511","2014",NA,NA,NA
"894","5071","S2511","2022",NA,NA,NA
"894","5071","S2511","2021",NA,NA,NA
"894","5071","S2511","2020",NA,NA,NA
"894","5071","S2511","2019",NA,NA,NA
"894","5071","S2511","2018",NA,NA,NA
"894","5071","S2511","2017",NA,NA,NA
"894","5071","S2511","2016",NA,NA,NA
"894","5071","S2511","2015",NA,NA,NA
"894","5071","S2511","2014",NA,NA,NA
"894","5910","S2511","2022",NA,NA,NA
"894","5910","S2511","2021",NA,NA,NA
"894","5910","S2511","2020",NA,NA,NA
"894","5910","S2511","2019",NA,NA,NA
"894","5910","S2511","2018",NA,NA,NA
"894","5910","S2511","2017",NA,NA,NA
"894","5910","S2511","2016",NA,NA,NA
"894","5910","S2511","2015",NA,NA,NA
"894","5910","S2511","2014",NA,NA,NA
"894","5520","S2511","2022",NA,NA,NA
"894","5520","S2511","2021",NA,NA,NA
"894","5520","S2511","2020",NA,NA,NA
"894","5520","S2511","2019",NA,NA,NA
"894","5520","S2511","2018",NA,NA,NA
"894","5520","S2511","2017",NA,NA,NA
"894","5520","S2511","2016",NA,NA,NA
"894","5520","S2511","2015",NA,NA,NA
"894","5520","S2511","2014",NA,NA,NA
"894","5525","S2511","2022",NA,NA,NA
"894","5525","S2511","2021",NA,NA,NA
"894","5525","S2511","2020",NA,NA,NA
"894","5525","S2511","2019",NA,NA,NA
"894","5525","S2511","2018",NA,NA,NA
"894","5525","S2511","2017",NA,NA,NA
"894","5525","S2511","2016",NA,NA,NA
"894","5525","S2511","2015",NA,NA,NA
"894","5525","S2511","2014",NA,NA,NA
"894","5016","S2511","2022",NA,NA,NA
"894","5016","S2511","2021",NA,NA,NA
"894","5016","S2511","2020",NA,NA,NA
"894","5016","S2511","2019",NA,NA,NA
"894","5016","S2511","2018",NA,NA,NA
"894","5016","S2511","2017",NA,NA,NA
"894","5016","S2511","2016",NA,NA,NA
"894","5016","S2511","2015",NA,NA,NA
"894","5016","S2511","2014",NA,NA,NA
"894","5023","S2511","2022",NA,NA,NA
"894","5023","S2511","2021",NA,NA,NA
"894","5023","S2511","2020",NA,NA,NA
"894","5023","S2511","2019",NA,NA,NA
"894","5023","S2511","2018",NA,NA,NA
"894","5023","S2511","2017",NA,NA,NA
"894","5023","S2511","2016",NA,NA,NA
"894","5023","S2511","2015",NA,NA,NA
"894","5023","S2511","2014",NA,NA,NA
"894","5141","S2511","2022",NA,NA,NA
"894","5141","S2511","2021",NA,NA,NA
"894","5141","S2511","2020",NA,NA,NA
"894","5141","S2511","2019",NA,NA,NA
"894","5141","S2511","2018",NA,NA,NA
"894","5141","S2511","2017",NA,NA,NA
"894","5141","S2511","2016",NA,NA,NA
"894","5141","S2511","2015",NA,NA,NA
"894","5141","S2511","2014",NA,NA,NA
"894","261","S2511","2022",NA,NA,NA
"894","261","S2511","2021",NA,NA,NA
"894","261","S2511","2020",NA,NA,NA
"894","261","S2511","2019",NA,NA,NA
"894","261","S2511","2018",NA,NA,NA
"894","261","S2511","2017",NA,NA,NA
"894","261","S2511","2016",NA,NA,NA
"894","261","S2511","2015",NA,NA,NA
"894","261","S2511","2014",NA,NA,NA
"894","271","S2511","2022",NA,NA,NA
"894","271","S2511","2021",NA,NA,NA
"894","271","S2511","2020",NA,NA,NA
"894","271","S2511","2019",NA,NA,NA
"894","271","S2511","2018",NA,NA,NA
"894","271","S2511","2017",NA,NA,NA
"894","271","S2511","2016",NA,NA,NA
