"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus","flagMethod"
"894","5510","S2511","2013",273584,"I","s"
"894","5510","S2511","2012",253522,"I","s"
"894","5510","S2511","2011",237332,"I","s"
"894","5510","S2511","2010",172256,"I","s"
"894","5610","S2511","2013",13591.541453,"I","s"
"894","5610","S2511","2012",37765.2567,"I","s"
"894","5610","S2511","2011",25294.152822,"I","s"
"894","5610","S2511","2010",6426.074415,"I","s"
"894","5071","S2511","2013",44292.813597,"I","s"
"894","5071","S2511","2012",-8561.184899,"I","s"
"894","5071","S2511","2011",15862.018474,"I","s"
"894","5071","S2511","2010",-14147.169722,"I","s"
"894","5910","S2511","2013",78671.797268,"I","s"
"894","5910","S2511","2012",70059.832181,"I","s"
"894","5910","S2511","2011",64918.893111,"I","s"
"894","5910","S2511","2010",65280.626736,"I","s"
"894","5520","S2511","2013",218.0784,"I","s"
"894","5520","S2511","2012",3093.998441,"I","s"
"894","5520","S2511","2011",904.163009,"I","s"
"894","5520","S2511","2010",1213.254613,"I","s"
"894","5525","S2511","2013",2961.173437,"I","s"
"894","5525","S2511","2012",2744.029666,"I","s"
"894","5525","S2511","2011",2568.79501,"I","s"
"894","5525","S2511","2010",1864.43612,"I","s"
"894","5016","S2511","2013",5605.293333,"I","s"
"894","5016","S2511","2012",5194.604256,"I","s"
"894","5016","S2511","2011",5192.535035,"I","s"
"894","5016","S2511","2010",3529.147982,"I","s"
"894","5023","S2511","2013",31249.52073,"I","s"
"894","5023","S2511","2012",18125.005067,"I","s"
"894","5023","S2511","2011",4374.999557,"I","s"
"894","5023","S2511","2010",4374.998785,"I","s"
"894","5141","S2511","2013",112039.864688,"I","s"
"894","5141","S2511","2012",182653.534489,"I","s"
"894","5141","S2511","2011",152504.999435,"I","s"
"894","5141","S2511","2010",119909.790464,"I","s"
"894","261","S2511","2013",310492.26378,"I","s"
"894","261","S2511","2012",504580.666653,"I","s"
"894","261","S2511","2011",420378.022995,"I","s"
"894","261","S2511","2010",330547.821635,"I","s"
"894","271","S2511","2013",9759.272265,"I","s"
"894","271","S2511","2012",15903.61488,"I","s"
"894","271","S2511","2011",13295.499152,"I","s"
"894","271","S2511","2010",10448.610946,"I","s"
"894","281","S2511","2013",1527.55793,"I","s"
"894","281","S2511","2012",2450.941503,"I","s"
"894","281","S2511","2011",1956.947548,"I","s"
"894","281","S2511","2010",1542.027091,"I","s"
"894","664","S2511","2013",55.836237,"I","s"
"894","664","S2511","2012",93.756855,"I","s"
"894","664","S2511","2011",80.732905,"I","s"
"894","664","S2511","2010",65.661597,"I","s"
"894","674","S2511","2013",1.755022,"I","s"
"894","674","S2511","2012",2.955074,"I","s"
"894","674","S2511","2011",2.553379,"I","s"
"894","674","S2511","2010",2.075562,"I","s"
"894","684","S2511","2013",0.274703,"I","s"
"894","684","S2511","2012",0.455414,"I","s"
"894","684","S2511","2011",0.375828,"I","s"
"894","684","S2511","2010",0.306316,"I","s"
"894","5165","S2511","2013",12500,"I","s"
"894","5165","S2511","2012",18773.4375,"I","s"
"894","5165","S2511","2011",18770.3125,"I","s"
"894","5166","S2511","2013",-363,"I","s"
"894","5166","S2511","2012",-796,"I","s"
"894","5166","S2511","2011",-2470.563309,"I","s"
"894","5166","S2511","2010",-3343.010562,"I","s"
"894","665","S2511","2013",20.148278,"T","i"
"894","665","S2511","2012",33.939115,"T","i"
"894","665","S2511","2011",29.288333,"T","i"
"894","665","S2511","2010",23.819453,"T","i"
"894","5510","S2513","2013",10000,"I","s"
"894","5510","S2513","2012",8000,"I","s"
"894","5510","S2513","2011",6500,"I","s"
"894","5510","S2513","2010",5500,"I","s"
"894","5610","S2513","2013",20601.150038,"I","s"
"894","5610","S2513","2012",21315.92102,"I","s"
"894","5610","S2513","2011",13141.858142,"I","s"
"894","5610","S2513","2010",9357.660585,"I","s"
"894","5071","S2513","2013",-8237.632729,"I","s"
"894","5071","S2513","2012",-2549.538362,"I","s"
"894","5071","S2513","2011",-10349.485589,"I","s"
"894","5071","S2513","2010",-2196.705301,"I","s"
"894","5910","S2513","2013",12835.525631,"I","s"
"894","5910","S2513","2012",10301.490627,"I","s"
"894","5910","S2513","2011",10585.462537,"I","s"
"894","5910","S2513","2010",1531.434391,"I","s"
"894","5525","S2513","2013",128.510672,"I","s"
"894","5525","S2513","2012",102.808538,"I","s"
"894","5525","S2513","2011",83.531937,"I","s"
"894","5525","S2513","2010",70.68087,"I","s"
"894","5016","S2513","2013",101.162407,"I","s"
"894","5016","S2513","2012",80.921833,"I","s"
"894","5016","S2513","2011",65.748989,"I","s"
"894","5016","S2513","2010",55.63376,"I","s"
"894","5023","S2513","2013",25939.584057,"I","s"
"894","5023","S2513","2012",21524.238383,"I","s"
"894","5023","S2513","2011",19383.600268,"I","s"
"894","5023","S2513","2010",15425.616865,"I","s"
"894","5141","S2513","2013",0,"I","s"
"894","5141","S2513","2012",0,"I","s"
"894","5141","S2513","2011",0,"I","s"
"894","5141","S2513","2010",0,"I","s"
"894","261","S2513","2013",0,"I","s"
"894","261","S2513","2012",0,"I","s"
"894","261","S2513","2011",0,"I","s"
"894","261","S2513","2010",0,"I","s"
"894","271","S2513","2013",0,"I","s"
"894","271","S2513","2012",0,"I","s"
"894","271","S2513","2011",0,"I","s"
"894","271","S2513","2010",0,"I","s"
"894","281","S2513","2013",0,"I","s"
"894","281","S2513","2012",0,"I","s"
"894","281","S2513","2011",0,"I","s"
"894","281","S2513","2010",0,"I","s"
"894","664","S2513","2013",0,"I","s"
"894","664","S2513","2012",0,"I","s"
"894","664","S2513","2011",0,"I","s"
"894","664","S2513","2010",0,"I","s"
"894","674","S2513","2013",0,"I","s"
"894","674","S2513","2012",0,"I","s"
"894","674","S2513","2011",0,"I","s"
"894","674","S2513","2010",0,"I","s"
"894","684","S2513","2013",0,"I","s"
"894","684","S2513","2012",0,"I","s"
"894","684","S2513","2011",0,"I","s"
"894","684","S2513","2010",0,"I","s"
"894","5166","S2513","2013",-166,"I","s"
"894","5166","S2513","2012",-144,"I","s"
"894","5166","S2513","2011",-127,"I","s"
"894","5166","S2513","2010",-29,"I","s"
"894","665","S2513","2013",0,"T","i"
"894","665","S2513","2012",0,"T","i"
"894","665","S2513","2011",0,"T","i"
"894","665","S2513","2010",0,"T","i"
"894","5510","S2514","2013",2532800,"I","s"
"894","5510","S2514","2012",2852687,"I","s"
"894","5510","S2514","2011",3020380,"I","s"
"894","5510","S2514","2010",2795483,"I","s"
"894","5610","S2514","2013",7949.614723,"I","s"
"894","5610","S2514","2012",11594.986259,"I","s"
"894","5610","S2514","2011",15181.94829,"I","s"
"894","5610","S2514","2010",7085.485565,"I","s"
"894","5071","S2514","2013",-66833.931985,"I","s"
"894","5071","S2514","2012",31338.484811,"I","s"
"894","5071","S2514","2011",484792.83671,"I","s"
"894","5071","S2514","2010",684370.294439,"I","s"
"894","5910","S2514","2013",176377.482101,"I","s"
"894","5910","S2514","2012",730365.126656,"I","s"
"894","5910","S2514","2011",524626.097786,"I","s"
"894","5910","S2514","2010",69231.293016,"I","s"
"894","5520","S2514","2013",223300,"I","s"
"894","5520","S2514","2012",203000.000001,"I","s"
"894","5520","S2514","2011",175000.000001,"I","s"
"894","5520","S2514","2010",257318.023609,"I","s"
"894","5525","S2514","2013",34347,"I","s"
"894","5525","S2514","2012",44147,"I","s"
"894","5525","S2514","2011",50000,"I","s"
"894","5525","S2514","2010",40883.471954,"I","s"
"894","5016","S2514","2013",76104.87,"I","s"
"894","5016","S2514","2012",85672.47,"I","s"
"894","5016","S2514","2011",90698.73,"I","s"
"894","5016","S2514","2010",84035.61,"I","s"
"894","5023","S2514","2013",42196.834088,"I","s"
"894","5023","S2514","2012",38934.255347,"I","s"
"894","5023","S2514","2011",41456.795019,"I","s"
"894","5023","S2514","2010",32105.824666,"I","s"
"894","5141","S2514","2013",1946606.199234,"I","s"
"894","5141","S2514","2012",1634188.761262,"I","s"
"894","5141","S2514","2011",1578937.06789,"I","s"
"894","5141","S2514","2010",1526471.179623,"I","s"
"894","261","S2514","2013",5978222.298469,"I","s"
"894","261","S2514","2012",5018757.104712,"I","s"
"894","261","S2514","2011",4849073.629196,"I","s"
"894","261","S2514","2010",4687945.63974,"I","s"
"894","271","S2514","2013",123628.959713,"I","s"
"894","271","S2514","2012",103787.328228,"I","s"
"894","271","S2514","2011",100278.293182,"I","s"
"894","271","S2514","2010",96946.184618,"I","s"
"894","281","S2514","2013",50806.4218,"I","s"
"894","281","S2514","2012",42652.326669,"I","s"
"894","281","S2514","2011",41210.257472,"I","s"
"894","281","S2514","2010",39840.897788,"I","s"
"894","664","S2514","2013",1075.071679,"I","s"
"894","664","S2514","2012",932.542448,"I","s"
"894","664","S2514","2011",931.256585,"I","s"
"894","664","S2514","2010",931.23591,"I","s"
"894","674","S2514","2013",22.232361,"I","s"
