"itemtype","description","areaharvested","yield","factor","production","imports","exports","stock","food","feed","seed","loss","industrial","tourist","residual","foodmanufacturing"
"CRNP","Crops non-primary","5327","5423",1000,"5510","5610","5910","5071","5141","5520","5525","5016","5165","5164","5166","5023"
"CRPR","Crops primary","5312","5421",1,"5510","5610","5910","5071","5141","5520","5525","5016","5165","5164","5166","5023"
"DERA","Derived animal products","5327","5423",1000,"5510","5610","5910","5071","5141","5520","5525","5016","5165","5164","5166","5023"
"FRUI","Fruit","5312","5421",1,"5510","5610","5910","5071","5141","5520","5525","5016","5165","5164","5166","5023"
"HIDE","Hides and skins","5320","5417",1000,"5510","5610","5910","5071","5141","5520","5525","5016","5165","5164","5166","5023"
"HIVE","NA","NA","NA",NA,"5519","5610","5910","5071","5141","5520","5525","5016","5165","5164","5166","NA"
"HONY","Honey","5314","5422",1000,"5510","5610","5910","5071","5141","5520","5525","5016","5165","5164","5166","5023"
"LSNP","Livestock non-primary","5320","5417",1000,"5510","5610","5910","5071","5141","5520","5525","5016","5165","5164","5166","5023"
"LSNP","Livestock non-primary","53200","54170",1000,"55100","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"LSNP","Livestock non-primary","53201","54171",1000,"55101","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"LSPR","Livestock primary","5031","5417",1000,"5518","5608","5908","5071","5141","5520","5525","5016","5165","5164","5166","5315"
"MILK","Milk","5318","5417",1000,"5510","5610","5910","5071","5141","5520","5525","5016","5165","5164","5166","5023"
"OFF","Offals","5320","5424",1000,"5510","5610","5910","5071","5141","5520","5525","5016","5165","5164","5166","5023"
"POFF","Poultry offals","5321","5424",1000,"5510","5610","5910","5071","5141","5520","5525","5016","5165","5164","5166","5023"
"PONP","Poultry non-primary","5321","5424",1000000,"5510","5610","5910","5071","5141","5520","5525","5016","5165","5164","5166","NA"
"PONP","Poultry non-primary","53210","54240",1000000,"55100","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"PONP","Poultry non-primary","53211","54241",1000000,"55101","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"POPR","Poultry primary","5032","NA",NA,"5513","5609","5909","5071","5141","5520","5525","5016","5165","5164","5166","5316"
"PSKN","Poultry skins","5321","5424",1000000,"5510","5610","5910","5071","5141","5520","5525","5016","5165","5164","5166","NA"
"WOOL","Wool, hair, cocoons","5314","5417",1000,"5510","5610","5910","5071","5141","5520","5525","5016","5165","5164","5166","5023"
"EGGW","Eggs (weight)","5313","5424",1000,"5510","5610","5910","5071","5141","5520","5525","5016","5165","5164","5166","5023"
