"geographicAreaM49","measuredElementSuaFbs","measuredItemParentCPC","measuredItemChildCPC","timePointYears","Value","flagObservationStatus","flagMethod"
"398","share_Up","0111","23110","2022",0.975,"I","c"
"398","share_Up","0111","23110","2021",0.905,"I","c"
"398","share_Up","0111","23110","2020",0.88,"I","c"
"398","share_Up","0111","23110","2019",0.94807,"I","c"
"398","share_Up","0111","23110","2018",0.95,"I","c"
"398","share_Up","0111","23110","2017",0.98,"I","c"
"398","share_Up","0111","23110","2016",0.989,"I","c"
"398","share_Up","0111","23110","2015",0.974,"I","c"
"398","share_Up","0111","23110","2014",0.9445,"I","c"
"398","share_Up","0111","23140.01","2022",0.975,"I","c"
"398","share_Up","0111","23140.01","2021",0.905,"I","c"
"398","share_Up","0111","23140.01","2020",0.88,"I","c"
"398","share_Up","0111","23140.01","2019",0.94807,"I","c"
"398","share_Up","0111","23140.01","2018",0.95,"I","c"
"398","share_Up","0111","23140.01","2017",0.98,"I","c"
"398","share_Up","0111","23140.01","2016",0.989,"I","c"
"398","share_Up","0111","23140.01","2015",0.974,"I","c"
"398","share_Up","0111","23140.01","2014",0.9445,"I","c"
"398","share_Up","0111","24110","2022",0.006,"I","c"
"398","share_Up","0111","24110","2021",0.025,"I","c"
"398","share_Up","0111","24110","2020",0.01,"I","c"
"398","share_Up","0111","24110","2019",0.0004972976,"I","c"
"398","share_Up","0111","24110","2018",0.0004972976,"I","c"
"398","share_Up","0111","24110","2017",1e-04,"I","c"
"398","share_Up","0111","24110","2016",0.0004922202,"I","c"
"398","share_Up","0111","24110","2015",2e-04,"I","c"
"398","share_Up","0111","24110","2014",0.001,"I","c"
"398","share_Up","0111","2413","2022",0.002,"I","c"
"398","share_Up","0111","2413","2021",0.0204327927,"I","c"
"398","share_Up","0111","2413","2020",0.05,"I","c"
"398","share_Up","0111","2413","2019",0.0204327927,"I","c"
"398","share_Up","0111","2413","2018",0.0204327927,"I","c"
"398","share_Up","0111","2413","2017",1e-06,"I","c"
"398","share_Up","0111","2413","2016",0.001,"I","c"
"398","share_Up","0111","2413","2015",1e-05,"I","c"
"398","share_Up","0111","2413","2014",0.0282,"T","-"
"398","share_Up","0111","24320","2022",0.02,"I","c"
"398","share_Up","0111","24320","2021",0.05,"I","c"
"398","share_Up","0111","24320","2020",0.06,"I","c"
"398","share_Up","0111","24320","2019",0.031,"I","c"
"398","share_Up","0111","24320","2018",0.02907,"I","c"
"398","share_Up","0111","24320","2017",0.019899,"I","c"
"398","share_Up","0111","24320","2016",0.008508,"I","c"
"398","share_Up","0111","24320","2015",0.02579,"I","c"
"398","share_Up","0111","24320","2014",0.0263,"I","c"
"398","share_Up","0111","39120.01","2022",0.975,"I","c"
"398","share_Up","0111","39120.01","2021",0.905,"I","c"
"398","share_Up","0111","39120.01","2020",0.88,"I","c"
"398","share_Up","0111","39120.01","2019",0.94807,"I","c"
"398","share_Up","0111","39120.01","2018",0.95,"I","c"
"398","share_Up","0111","39120.01","2017",0.98,"I","c"
"398","share_Up","0111","39120.01","2016",0.989,"I","c"
"398","share_Up","0111","39120.01","2015",0.974,"I","c"
"398","share_Up","0111","39120.01","2014",0.9445,"I","c"
"398","share_Up","0112","23120.03","2022",1,"I","c"
"398","share_Up","0112","23120.03","2021",1,"I","c"
"398","share_Up","0112","23120.03","2020",1,"I","c"
"398","share_Up","0112","23120.03","2019",1,"I","c"
"398","share_Up","0112","23120.03","2018",1,"I","c"
"398","share_Up","0112","23120.03","2017",1,"I","c"
"398","share_Up","0112","23120.03","2016",1,"I","c"
"398","share_Up","0112","23120.03","2015",1,"I","c"
"398","share_Up","0112","23120.03","2014",1,"I","c"
"398","share_Up","0112","23140.06","2022",1,"I","c"
"398","share_Up","0112","23140.06","2021",1,"I","c"
"398","share_Up","0112","23140.06","2020",1,"I","c"
"398","share_Up","0112","23140.06","2019",1,"I","c"
"398","share_Up","0112","23140.06","2018",1,"I","c"
"398","share_Up","0112","23140.06","2017",1,"I","c"
"398","share_Up","0112","23140.06","2016",1,"I","c"
"398","share_Up","0112","23140.06","2015",1,"I","c"
"398","share_Up","0112","23140.06","2014",1,"I","c"
"398","share_Up","0112","39120.04","2022",1,"I","c"
"398","share_Up","0112","39120.04","2021",1,"I","c"
"398","share_Up","0112","39120.04","2020",1,"I","c"
"398","share_Up","0112","39120.04","2019",1,"I","c"
"398","share_Up","0112","39120.04","2018",1,"I","c"
"398","share_Up","0112","39120.04","2017",1,"I","c"
"398","share_Up","0112","39120.04","2016",1,"I","c"
"398","share_Up","0112","39120.04","2015",1,"I","c"
"398","share_Up","0112","39120.04","2014",1,"I","c"
"398","share_Up","0113","23161.02","2022",0.8778346905,"I","c"
"398","share_Up","0113","23161.02","2021",0.8778346905,"I","c"
"398","share_Up","0113","23161.02","2020",0.8778346905,"I","c"
"398","share_Up","0113","23161.02","2019",0.8778346905,"I","c"
"398","share_Up","0113","23161.02","2018",0.8778346905,"I","c"
"398","share_Up","0113","23161.02","2017",0.8786774363,"I","c"
"398","share_Up","0113","23161.02","2016",0.8777580772,"I","c"
"398","share_Up","0113","23161.02","2015",0.8770685579,"I","c"
"398","share_Up","0113","23161.02","2014",0.8812056738,"I","c"
"398","share_Up","0113","23162","2022",0.1221653095,"I","c"
"398","share_Up","0113","23162","2021",0.1221653095,"I","c"
"398","share_Up","0113","23162","2020",0.1221653095,"I","c"
"398","share_Up","0113","23162","2019",0.1221653095,"I","c"
"398","share_Up","0113","23162","2018",0.1221653095,"I","c"
"398","share_Up","0113","23162","2017",0.1213225637,"I","c"
"398","share_Up","0113","23162","2016",0.1222419228,"I","c"
"398","share_Up","0113","23162","2015",0.1229314421,"I","c"
"398","share_Up","0113","23162","2014",0.1187943262,"I","c"
"398","share_Up","0113","39120.02","2022",0.8778346905,"I","c"
"398","share_Up","0113","39120.02","2021",0.8778346905,"I","c"
"398","share_Up","0113","39120.02","2020",0.8778346905,"I","c"
"398","share_Up","0113","39120.02","2019",0.8778346905,"I","c"
"398","share_Up","0113","39120.02","2018",0.8778346905,"I","c"
"398","share_Up","0113","39120.02","2017",0.8786774363,"I","c"
"398","share_Up","0113","39120.02","2016",0.8777580772,"I","c"
"398","share_Up","0113","39120.02","2015",0.8770685579,"I","c"
"398","share_Up","0113","39120.02","2014",0.8812056738,"I","c"
"398","share_Up","0115","23140.04","2022",0.5230214507,"I","c"
"398","share_Up","0115","23140.04","2021",0.5230214507,"I","c"
"398","share_Up","0115","23140.04","2020",0.5230214507,"I","c"
"398","share_Up","0115","23140.04","2019",0.5230214507,"I","c"
"398","share_Up","0115","23140.04","2018",0.5230214507,"I","c"
"398","share_Up","0115","23140.04","2017",0.5227089326,"I","c"
"398","share_Up","0115","23140.04","2016",0.35,"I","c"
"398","share_Up","0115","23140.04","2015",0.5185453998,"I","c"
"398","share_Up","0115","23140.04","2014",0.5217713783,"I","c"
"398","share_Up","0115","2413","2022",0.2832845891,"I","c"
"398","share_Up","0115","2413","2021",0.2832845891,"I","c"
"398","share_Up","0115","2413","2020",0.2832845891,"I","c"
"398","share_Up","0115","2413","2019",0.2832845891,"I","c"
"398","share_Up","0115","2413","2018",0.2832845891,"I","c"
"398","share_Up","0115","2413","2017",0.282436245,"I","c"
"398","share_Up","0115","2413","2016",0.001,"I","c"
"398","share_Up","0115","2413","2015",0.2830489085,"I","c"
"398","share_Up","0115","2413","2014",0.2798912129,"T","-"
"398","share_Up","0115","24320","2022",0.1936939602,"I","c"
"398","share_Up","0115","24320","2021",0.1936939602,"I","c"
"398","share_Up","0115","24320","2020",0.1936939602,"I","c"
"398","share_Up","0115","24320","2019",0.1936939602,"I","c"
"398","share_Up","0115","24320","2018",0.1936939602,"I","c"
"398","share_Up","0115","24320","2017",0.1948548223,"I","c"
"398","share_Up","0115","24320","2016",0.649,"I","c"
"398","share_Up","0115","24320","2015",0.1984056918,"I","c"
"398","share_Up","0115","24320","2014",0.1983374088,"I","c"
"398","share_Up","0115","39120.03","2022",0.5230214507,"I","c"
"398","share_Up","0115","39120.03","2021",0.5230214507,"I","c"
"398","share_Up","0115","39120.03","2020",0.5230214507,"I","c"
"398","share_Up","0115","39120.03","2019",0.5230214507,"I","c"
"398","share_Up","0115","39120.03","2018",0.5230214507,"I","c"
"398","share_Up","0115","39120.03","2017",0.5227089326,"I","c"
"398","share_Up","0115","39120.03","2016",0.35,"I","c"
"398","share_Up","0115","39120.03","2015",0.5185453998,"I","c"
"398","share_Up","0115","39120.03","2014",0.5217713783,"I","c"
"398","share_Up","0116","23120.04","2022",1,"I","c"
"398","share_Up","0116","23120.04","2021",1,"I","c"
"398","share_Up","0116","23120.04","2020",1,"I","c"
"398","share_Up","0116","23120.04","2019",1,"I","c"
"398","share_Up","0116","23120.04","2018",1,"I","c"
"398","share_Up","0116","23120.04","2017",1,"I","c"
"398","share_Up","0116","23120.04","2016",1,"I","c"
"398","share_Up","0116","23120.04","2015",1,"I","c"
"398","share_Up","0116","23120.04","2014",1,"I","c"
"398","share_Up","0116","39120.05","2022",1,"I","c"
"398","share_Up","0116","39120.05","2021",1,"I","c"
"398","share_Up","0116","39120.05","2020",1,"I","c"
"398","share_Up","0116","39120.05","2019",1,"I","c"
"398","share_Up","0116","39120.05","2018",1,"I","c"
"398","share_Up","0116","39120.05","2017",1,"I","c"
"398","share_Up","0116","39120.05","2016",1,"I","c"
"398","share_Up","0116","39120.05","2015",1,"I","c"
"398","share_Up","0116","39120.05","2014",1,"I","c"
"398","share_Up","0117","23140.07","2022",1,"I","c"
"398","share_Up","0117","23140.07","2021",1,"I","c"
"398","share_Up","0117","23140.07","2020",1,"I","c"
"398","share_Up","0117","23140.07","2019",1,"I","c"
"398","share_Up","0117","23140.07","2018",1,"I","c"
"398","share_Up","0117","23140.07","2017",1,"I","c"
"398","share_Up","0117","23140.07","2016",1,"I","c"
"398","share_Up","0117","23140.07","2015",1,"I","c"
"398","share_Up","0117","23140.07","2014",1,"I","c"
"398","share_Up","0117","39120.06","2022",1,"I","c"
"398","share_Up","0117","39120.06","2021",1,"I","c"
"398","share_Up","0117","39120.06","2020",1,"I","c"
"398","share_Up","0117","39120.06","2019",1,"I","c"
"398","share_Up","0117","39120.06","2018",1,"I","c"
"398","share_Up","0117","39120.06","2017",1,"I","c"
"398","share_Up","0117","39120.06","2016",1,"I","c"
"398","share_Up","0117","39120.06","2015",1,"I","c"
"398","share_Up","0117","39120.06","2014",1,"I","c"
"398","share_Up","0118","23120.05","2022",1,"I","c"
"398","share_Up","0118","23120.05","2021",1,"I","c"
"398","share_Up","0118","23120.05","2020",1,"I","c"
"398","share_Up","0118","23120.05","2019",1,"I","c"
"398","share_Up","0118","23120.05","2018",1,"I","c"
"398","share_Up","0118","23120.05","2017",1,"I","c"
"398","share_Up","0118","23120.05","2016",1,"I","c"
"398","share_Up","0118","23120.05","2015",1,"I","c"
"398","share_Up","0118","23120.05","2014",1,"I","c"
"398","share_Up","0118","39120.07","2022",1,"I","c"
"398","share_Up","0118","39120.07","2021",1,"I","c"
"398","share_Up","0118","39120.07","2020",1,"I","c"
"398","share_Up","0118","39120.07","2019",1,"I","c"
"398","share_Up","0118","39120.07","2018",1,"I","c"
"398","share_Up","0118","39120.07","2017",1,"I","c"
"398","share_Up","0118","39120.07","2016",1,"I","c"
"398","share_Up","0118","39120.07","2015",1,"I","c"
"398","share_Up","0118","39120.07","2014",1,"I","c"
"398","share_Up","01192","23120.07","2022",1,"I","c"
"398","share_Up","01192","23120.07","2021",1,"I","c"
"398","share_Up","01192","23120.07","2020",1,"I","c"
"398","share_Up","01192","23120.07","2019",1,"I","c"
"398","share_Up","01192","23120.07","2018",1,"I","c"
"398","share_Up","01192","23120.07","2017",1,"I","c"
"398","share_Up","01192","23120.07","2016",1,"I","c"
"398","share_Up","01192","23120.07","2015",1,"I","c"
"398","share_Up","01192","23120.07","2014",1,"I","c"
"398","share_Up","01192","39120.09","2022",1,"I","c"
"398","share_Up","01192","39120.09","2021",1,"I","c"
