"mapped_by","year","reporter_fao","reporter_name","flow","hs_chap","hs","hs_extend","fcl","details","tl_description"
"K",2000,105,"Israel",1,53,"53081000",53081000,813,"HS 2002 (code not included in correlation tables, so assumed to be the same as 1996)",NA
"K",2000,108,"Kazakhstan",1,8,"81099999",810999990,0,"SIX-DIGIT CODE DOES NOT EXIST",""
"K",2000,115,"Cambodia",1,35,"35019000",35019000,917,"HS 2002",NA
"K",2000,115,"Cambodia",1,53,"53081000",53081000,813,"HS 2002 (code not included in correlation tables, so assumed to be the same as 1996)",NA
"K",2000,12,"Bahamas",1,1,"1050300",1050300,1057,"Code not found: best guess",NA
"K",2000,12,"Bahamas",1,2,"2073300",2073300,1069,"Country TL description","Frozen ducks, geese and guinea fowls of the species domesticus, not cut into pieces (detailed label not available) (note: species description note not clear, but ducks dominate in the 0207.33 category, so I mapped it there)"
"K",2000,12,"Bahamas",2,1,"1050300",1050300,1057,"Code not found: best guess",NA
"K",2000,13,"Bahrain",1,1,"1012020",1012020,1110,"Country TL description","Mules"
"K",2000,13,"Bahrain",1,11,"11031951",11031951,80,"Country TL description","GROATS OF MILLET"
"K",2000,13,"Bahrain",1,38,"38231000",38231000,1276,"Country TL description","Stearic acid, industrial"
"K",2000,13,"Bahrain",1,53,"53081000",53081000,813,"HS 2002 (code not included in correlation tables, so assumed to be the same as 1996)",NA
"K",2000,13,"Bahrain",2,1,"1012020",1012020,1110,"Country TL description","Mules"
"K",2000,134,"Malta",1,53,"53081000",5308100000,813,"Country TL description (WITS)","Coir yarn"
"T",2000,136,"Mauritania",1,10,"1001200000",100120000000,0,"SIX-DIGIT CODE DOES NOT EXIST (Mauritania tariff schedule from 2000 not found)",""
"T",2000,136,"Mauritania",1,10,"1006510000",100651000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,1,"105200000",10520000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,11,"1101100000",110110000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,11,"1101300000",110130000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,11,"1101900000",110190000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,11,"1102010000",110201000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,11,"1102020000",110202000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,11,"1102120000",110212000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,12,"1201220000",120122000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,12,"1201320000",120132000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,12,"1201600000",120160000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,13,"1302100000",130210000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,15,"1507010000",150701000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
"T",2000,136,"Mauritania",1,15,"1507040000",150704000000,0,"CODE NOT FOUND (Mauritania tariff schedule from 2000 not found)",NA
