Country Code,Country,M49 Code
2,Afghanistan,4
5100,Africa,2
3,Albania,8
4,Algeria,12
5,American Samoa,16
5200,Americas,19
6,Andorra,20
7,Angola,24
258,Anguilla,660
8,Antigua and Barbuda,28
9,Argentina,32
1,Armenia,51
22,Aruba,533
5300,Asia,142
10,Australia,36
5501,Australia and New Zealand,53
11,Austria,40
52,Azerbaijan,31
12,Bahamas,44
13,Bahrain,48
16,Bangladesh,50
14,Barbados,52
57,Belarus,112
255,Belgium,56
15,Belgium-Luxembourg,58
23,Belize,84
53,Benin,204
17,Bermuda,60
18,Bhutan,64
19,Bolivia (Plurinational State of),68
80,Bosnia and Herzegovina,70
20,Botswana,72
21,Brazil,76
239,British Virgin Islands,92
26,Brunei Darussalam,96
27,Bulgaria,100
233,Burkina Faso,854
29,Burundi,108
35,Cabo Verde,132
115,Cambodia,116
32,Cameroon,120
33,Canada,124
5206,Caribbean,29
36,Cayman Islands,136
37,Central African Republic,140
5204,Central America,13
5301,Central Asia,143
39,Chad,148
259,Channel Islands,830
40,Chile,152
351,China,156
96,"China, Hong Kong SAR",344
128,"China, Macao SAR",446
41,"China, mainland",1248
214,"China, Taiwan Province of",158
44,Colombia,170
45,Comoros,174
46,Congo,178
47,Cook Islands,184
48,Costa Rica,188
107,Côte d'Ivoire,384
98,Croatia,191
49,Cuba,192
50,Cyprus,196
167,Czechia,203
51,Czechoslovakia,200
116,Democratic People's Republic of Korea,408
250,Democratic Republic of the Congo,180
54,Denmark,208
72,Djibouti,262
55,Dominica,212
56,Dominican Republic,214
5101,Eastern Africa,14
5302,Eastern Asia,30
5401,Eastern Europe,151
58,Ecuador,218
59,Egypt,818
60,El Salvador,222
61,Equatorial Guinea,226
178,Eritrea,232
63,Estonia,233
209,Eswatini,748
238,Ethiopia,231
62,Ethiopia PDR,230
5400,Europe,150
5706,European Union,
65,Falkland Islands (Malvinas),238
64,Faroe Islands,234
66,Fiji,242
67,Finland,246
68,France,250
69,French Guiana,254
70,French Polynesia,258
74,Gabon,266
75,Gambia,270
73,Georgia,268
79,Germany,276
81,Ghana,288
82,Gibraltar,292
84,Greece,300
85,Greenland,304
86,Grenada,308
87,Guadeloupe,312
88,Guam,316
89,Guatemala,320
90,Guinea,324
175,Guinea-Bissau,624
91,Guyana,328
93,Haiti,332
94,Holy See,336
95,Honduras,340
97,Hungary,348
99,Iceland,352
100,India,356
101,Indonesia,360
102,Iran (Islamic Republic of),364
103,Iraq,368
104,Ireland,372
264,Isle of Man,833
105,Israel,376
106,Italy,380
109,Jamaica,388
110,Japan,392
112,Jordan,400
108,Kazakhstan,398
114,Kenya,404
83,Kiribati,296
118,Kuwait,414
113,Kyrgyzstan,417
5802,Land Locked Developing Countries,1225
120,Lao People's Democratic Republic,418
119,Latvia,428
5801,Least Developed Countries,1224
121,Lebanon,422
122,Lesotho,426
123,Liberia,430
124,Libya,434
125,Liechtenstein,438
126,Lithuania,440
5815,Low Income Food Deficit Countries,
256,Luxembourg,442
129,Madagascar,450
130,Malawi,454
131,Malaysia,458
132,Maldives,462
133,Mali,466
134,Malta,470
127,Marshall Islands,584
135,Martinique,474
136,Mauritania,478
137,Mauritius,480
270,Mayotte,175
5502,Melanesia,54
138,Mexico,484
5503,Micronesia,57
145,Micronesia (Federated States of),583
5102,Middle Africa,17
140,Monaco,492
141,Mongolia,496
273,Montenegro,499
142,Montserrat,500
143,Morocco,504
144,Mozambique,508
