"Year","hs","reporter","flow","QTY","hs6","HSLength"
2014,"010121000",112,1,14,"010121",9
2014,"010129000",112,1,31,"010129",9
2014,"010221000",112,1,5887,"010221",9
2014,"010229000",112,1,24828,"010229",9
2014,"010290000",112,1,21162,"010290",9
2014,"010410000",112,1,737770,"010410",9
2014,"010420000",112,1,136062,"010420",9
2014,"010511000",112,1,48243,"010511",9
2014,"010613000",112,1,197526,"010613",9
2014,"010619000",112,1,3324,"010619",9
2014,"010620000",112,1,1300,"010620",9
2014,"010632000",112,1,4359,"010632",9
2014,"010639000",112,1,24191,"010639",9
2014,"010641000",112,1,13157,"010641",9
2014,"010690000",112,1,10,"010690",9
2014,"020110000",112,1,427827,"020110",9
2014,"020120000",112,1,25564,"020120",9
2014,"020130100",112,1,0,"020130",9
2014,"020130900",112,1,15143157,"020130",9
2014,"020220000",112,1,226799,"020220",9
2014,"020230100",112,1,15313,"020230",9
2014,"020230900",112,1,18928350,"020230",9
2014,"020321000",112,1,44476,"020321",9
2014,"020410000",112,1,460844,"020410",9
2014,"020421000",112,1,10856278,"020421",9
2014,"020422000",112,1,6436801,"020422",9
2014,"020423900",112,1,4751,"020423",9
2014,"020430000",112,1,550335,"020430",9
2014,"020441000",112,1,352081,"020441",9
2014,"020442000",112,1,5575598,"020442",9
2014,"020443900",112,1,168911,"020443",9
2014,"020610000",112,1,22834,"020610",9
2014,"020621000",112,1,0,"020621",9
2014,"020622000",112,1,59347,"020622",9
2014,"020629100",112,1,200820,"020629",9
2014,"020629900",112,1,198789,"020629",9
2014,"020680000",112,1,324151,"020680",9
2014,"020690000",112,1,1713110,"020690",9
2014,"020711000",112,1,0,"020711",9
2014,"020712000",112,1,32123180,"020712",9
2014,"020713000",112,1,3000,"020713",9
2014,"020714200",112,1,20986604,"020714",9
2014,"020714900",112,1,22988790,"020714",9
2014,"020725000",112,1,140150,"020725",9
2014,"020726900",112,1,4960,"020726",9
2014,"020727100",112,1,5308931,"020727",9
2014,"020727900",112,1,55489,"020727",9
2014,"020741000",112,1,159,"020741",9
2014,"020742000",112,1,29464,"020742",9
2014,"020743000",112,1,645,"020743",9
2014,"020745000",112,1,250,"020745",9
2014,"020755000",112,1,0,"020755",9
2014,"020760200",112,1,208068,"020760",9
2014,"020760400",112,1,11480,"020760",9
2014,"020860000",112,1,4500,"020860",9
2014,"020890000",112,1,760,"020890",9
2014,"021019000",112,1,367,"021019",9
2014,"021020000",112,1,2788,"021020",9
2014,"021099000",112,1,13362,"021099",9
2014,"030119000",112,1,22802,"030119",9
2014,"030199000",112,1,32512,"030199",9
2014,"030211000",112,1,4200,"030211",9
2014,"030213000",112,1,2955,"030213",9
2014,"030214000",112,1,480,"030214",9
2014,"030219000",112,1,130774,"030219",9
2014,"030231000",112,1,3641,"030231",9
2014,"030239000",112,1,1354,"030239",9
2014,"030243000",112,1,9714,"030243",9
2014,"030271000",112,1,218832,"030271",9
2014,"030279000",112,1,104297,"030279",9
2014,"030289000",112,1,1788943,"030289",9
2014,"030311000",112,1,1031,"030311",9
2014,"030313000",112,1,24182,"030313",9
2014,"030319000",112,1,6712,"030319",9
2014,"030323000",112,1,480170,"030323",9
2014,"030324000",112,1,5000,"030324",9
2014,"030339000",112,1,236942,"030339",9
2014,"030349000",112,1,5190,"030349",9
2014,"030351000",112,1,187340,"030351",9
2014,"030353000",112,1,42120,"030353",9
2014,"030354000",112,1,973851,"030354",9
2014,"030355000",112,1,189604,"030355",9
2014,"030366000",112,1,1391752,"030366",9
2014,"030367000",112,1,243607,"030367",9
2014,"030369000",112,1,54412,"030369",9
2014,"030389000",112,1,4322919,"030389",9
2014,"030390000",112,1,792,"030390",9
2014,"030431000",112,1,41593,"030431",9
2014,"030449000",112,1,25530,"030449",9
2014,"030459000",112,1,196353,"030459",9
2014,"030461000",112,1,25225,"030461",9
2014,"030462000",112,1,1880893,"030462",9
2014,"030471000",112,1,511,"030471",9
2014,"030474000",112,1,20250,"030474",9
2014,"030475000",112,1,26000,"030475",9
2014,"030481000",112,1,63712,"030481",9
2014,"030482000",112,1,250,"030482",9
2014,"030487000",112,1,550,"030487",9
2014,"030489000",112,1,1048047,"030489",9
2014,"030499000",112,1,327032,"030499",9
2014,"030541000",112,1,50627,"030541",9
