"hs2012_code","ex_code","faostat_code","faostat_name","unit"
"010121",NA,1096,"HORSES","HEADS"
"010129",NA,1096,"HORSES","HEADS"
"010130",NA,1107,"ASSES","HEADS"
"010190",NA,1110,"MULES","HEADS"
"010221",NA,866,"CATTLE","HEADS"
"010229",NA,866,"CATTLE","HEADS"
"010231",NA,946,"BUFFALOES","HEADS"
"010239",NA,946,"BUFFALOES","HEADS"
"010290",NA,866,"CATTLE","HEADS"
"010290",NA,946,"BUFFALOES","HEADS"
"010310",NA,1034,"PIGS","HEADS"
"010391",NA,1034,"PIGS","HEADS"
"010392",NA,1034,"PIGS","HEADS"
"010410",NA,976,"SHEEP","HEADS"
"010420",NA,1016,"GOATS","HEADS"
"010511",NA,1057,"CHICKENS","1000 HEADS"
"010512",NA,1079,"TURKEYS","1000 HEADS"
"010513",NA,1068,"DUCKS","1000 HEADS"
"010514",NA,1072,"GEESE","1000 HEADS"
"010515",NA,1057,"CHICKENS","1000 HEADS"
"010594",NA,1057,"CHICKENS","1000 HEADS"
"010599",NA,1057,"CHICKENS","1000 HEADS"
"010599",NA,1068,"DUCKS","1000 HEADS"
"010599",NA,1072,"GEESE","1000 HEADS"
"010599",NA,1079,"TURKEYS","1000 HEADS"
"010611",NA,1169,"LIVE ANIMALS NON FOOD","$ VALUE only"
"010611",NA,1171,"ANIMALS LIVE NES","$ VALUE only"
"010612",NA,1169,"LIVE ANIMALS NON FOOD","$ VALUE only"
"010612",NA,1171,"ANIMALS LIVE NES","$ VALUE only"
"010613",NA,1126,"CAMELS","HEADS"
"010613",NA,1157,"OTHER CAMELIDS","HEADS"
"010614",NA,1140,"RABBITS","1000 HEADS"
"010619",NA,1150,"OTHER RODENTS","HEADS"
"010619",NA,1169,"LIVE ANIMALS NON FOOD","$ VALUE only"
"010619",NA,1171,"ANIMALS LIVE NES","$ VALUE only"
"010620",NA,1169,"LIVE ANIMALS NON FOOD","$ VALUE only"
"010620",NA,1171,"ANIMALS LIVE NES","$ VALUE only"
"010631",NA,1169,"LIVE ANIMALS NON FOOD","$ VALUE only"
"010631",NA,1171,"ANIMALS LIVE NES","$ VALUE only"
"010632",NA,1169,"LIVE ANIMALS NON FOOD","$ VALUE only"
