"","code","description"
"1","736","Sudan (former)"
"2","728","South Sudan"
"3","535","Bonaire/S.Eustatius/Saba"
"4","831","Guernsey"
"5","832","Jersey"
"6","896","Other nei"
"7","652","Saint Barthélemy"
"8","663","Saint-Martin"
"9","239","SouthGeorgia/Sandwich Is"
"10","835","Zanzibar"
"11","248","Åland Islands"
"12","716","Zimbabwe"
"13","894","Zambia"
"14","890","Yugoslav SFR(-1991)"
"15","720","Yemen Dem"
"16","886","Yemen Ar Rp"
"17","887","Yemen"
"18","732","Westn Sahara"
"19","402","West Bank(-1995)"
"20","876","Wallis and Futuna Islands"
"21","872","Wake Is"
"22","704","Viet Nam"
"23","862","Venezuela (Bolivarian Republic of)"
"24","548","Vanuatu"
"25","860","Uzbekistan"
"26","850","US Virgin Is"
"27","810","USSR(-1991)"
"28","581","US Minor Is"
"29","858","Uruguay"
"30","840","United States of America"
"31","834","United Republic of Tanzania"
"32","826","United Kingdom"
"33","784","United Arab Emirates"
"34","804","Ukraine"
"35","800","Uganda"
"36","798","Tuvalu"
"37","796","Turks and Caicos Islands"
"38","795","Turkmenistan"
"39","792","Turkey"
"40","788","Tunisia"
"41","780","Trinidad and Tobago"
"42","776","Tonga"
"43","772","Tokelau"
"44","768","Togo"
"45","626","Timor-Leste"
"46","764","Thailand"
"47","807","The former Yugoslav Republic of Macedonia"
"48","762","Tajikistan"
"49","760","Syrian Arab Republic"
"50","756","Switzerland"
"51","752","Sweden"
"52","748","Swaziland"
"53","744","Svalbard Is"
"54","740","Suriname"
"55","729","Sudan"
"56","144","Sri Lanka"
"57","724","Spain"
"58","710","South Africa"
"59","706","Somalia"
"60","90","Solomon Islands"
"61","705","Slovenia"
"62","703","Slovakia"
"63","702","Singapore"
"64","694","Sierra Leone"
"65","690","Seychelles"
"66","891","Serbia-Monte(1992-2005)"
"67","688","Serbia"
"68","686","Senegal"
"69","682","Saudi Arabia"
"70","678","Sao Tome and Principe"
"71","674","San Marino"
"72","882","Samoa"
"73","670","Saint Vincent and the Grenadines"
"74","666","Saint Pierre and Miquelon"
"75","662","Saint Lucia"
"76","659","Saint Kitts and Nevis"
"77","654","Saint Helena, Ascension and Tristan da Cunha"
"78","646","Rwanda"
"79","643","Russian Federation"
"80","642","Romania"
"81","638","Réunion"
"82","498","Republic of Moldova"
"83","410","Republic of Korea"
"84","634","Qatar"
"85","630","Puerto Rico"
"86","620","Portugal"
"87","61","Polynesia"
"88","616","Poland"
"89","612","Pitcairn Is"
"90","608","Philippines"
"91","604","Peru"
"92","600","Paraguay"
"93","598","Papua New Guinea"
"94","591","Panama"
"95","275","Palestine(1996-)"
"96","585","Palau"
"97","586","Pakistan"
"98","582","Pacific Is"
"99","512","Oman"
"100","578","Norway"
"101","574","Norfolk Is"
"102","580","N Marianas"
"103","570","Niue"
"104","566","Nigeria"
"105","562","Niger"
"106","558","Nicaragua"
"107","554","New Zealand"
"108","540","New Caledonia"
"109","528","Netherlands"
"110","530","NethAntilles"
"111","524","Nepal"
"112","520","Nauru"
"113","516","Namibia"
"114","104","Myanmar"
"115","508","Mozambique"
"116","504","Morocco"
"117","500","Montserrat"
"118","499","Montenegro"
"119","496","Mongolia"
"120","492","Monaco"
"121","488","Midway Is"
"122","583","Micronesia (Federated States of)"
"123","57","Micronesia"
"124","484","Mexico"
"125","54","Melanesia"
"126","175","Mayotte"
"127","480","Mauritius"
"128","478","Mauritania"
"129","474","Martinique"
"130","584","Marshall Islands"
"131","470","Malta"
"132","466","Mali"
"133","462","Maldives"
"134","458","Malaysia"
"135","454","Malawi"
"136","450","Madagascar"
"137","442","Luxembourg"
"138","440","Lithuania"
"139","438","Liechtenstein"
"140","434","Libya"
