"reporter","flow","hs6","fcl","Year"
141,1,10100,1096,2000
141,1,10110,1096,2000
141,1,10111,1096,2000
141,1,10119,1096,2000
141,1,10121,1096,2000
141,1,10129,1096,2000
141,1,10130,1107,2000
141,1,10200,866,2000
141,1,10210,866,2000
141,1,10221,866,2000
141,1,10290,866,2000
141,1,10300,1034,2000
141,1,10310,1034,2000
141,1,10391,1034,2000
141,1,10392,1034,2000
141,1,10400,976,2000
141,1,10410,976,2000
141,1,10500,1057,2000
141,1,10511,1057,2000
141,1,10512,1079,2000
141,1,10513,1068,2000
141,1,10519,1068,2000
141,1,10599,1068,2000
141,1,10611,1169,2000
141,1,10612,1169,2000
141,1,10614,1140,2000
141,1,10619,1169,2000
141,1,10620,1169,2000
141,1,10631,1169,2000
141,1,10632,1169,2000
141,1,10639,1169,2000
141,1,10641,1181,2000
141,1,10649,1169,2000
141,1,10690,1169,2000
141,1,20100,870,2000
141,1,20110,867,2000
141,1,20120,867,2000
141,1,20130,870,2000
141,1,20200,870,2000
141,1,20210,867,2000
141,1,20220,867,2000
141,1,20230,870,2000
141,1,20300,1038,2000
141,1,20311,1035,2000
141,1,20312,1035,2000
141,1,20321,1035,2000
141,1,20322,1035,2000
141,1,20400,977,2000
141,1,20410,977,2000
141,1,20421,977,2000
141,1,20422,977,2000
141,1,20423,977,2000
141,1,20430,977,2000
141,1,20441,977,2000
141,1,20442,977,2000
141,1,20443,977,2000
141,1,20450,1017,2000
141,1,20500,1097,2000
141,1,20510,1097,2000
141,1,20600,1036,2000
141,1,20610,868,2000
141,1,20621,868,2000
141,1,20622,868,2000
141,1,20629,868,2000
141,1,20630,1036,2000
141,1,20641,1036,2000
141,1,20649,1036,2000
141,1,20700,1058,2000
141,1,20710,1058,2000
141,1,20711,1058,2000
141,1,20712,1058,2000
141,1,20713,1058,2000
141,1,20714,1058,2000
141,1,20721,1058,2000
141,1,20722,1080,2000
141,1,20723,1069,2000
141,1,20724,1080,2000
141,1,20725,1080,2000
141,1,20726,1080,2000
141,1,20727,1080,2000
141,1,20733,1069,2000
141,1,20734,1069,2000
141,1,20735,1058,2000
141,1,20739,1058,2000
141,1,20741,1058,2000
141,1,20742,1069,2000
141,1,20744,1069,2000
141,1,20745,1069,2000
141,1,20754,1073,2000
141,1,20755,1073,2000
141,1,20800,1166,2000
141,1,20810,1141,2000
141,1,20820,1166,2000
141,1,20840,1166,2000
141,1,20850,1166,2000
141,1,20890,1166,2000
141,1,20900,1037,2000
141,1,20910,1037,2000
141,1,21000,1039,2000
141,1,21011,1039,2000
141,1,21012,1039,2000
141,1,21019,1039,2000
141,1,21020,872,2000
141,1,21090,1164,2000
141,1,21093,1164,2000
141,1,21099,1164,2000
141,1,30100,1599,2000
141,1,30101,1599,2000
141,1,30102,1599,2000
141,1,30103,1599,2000
141,1,30104,1599,2000
141,1,30105,1599,2000
141,1,30106,1599,2000
141,1,30107,1599,2000
141,1,30108,1599,2000
141,1,30109,1599,2000
141,1,30110,1599,2000
141,1,30111,1599,2000
141,1,30112,1599,2000
141,1,30113,1599,2000
141,1,30114,1599,2000
141,1,30115,1599,2000
141,1,30116,1599,2000
141,1,30117,1599,2000
141,1,30118,1599,2000
141,1,30119,1599,2000
141,1,30120,1599,2000
141,1,30121,1599,2000
141,1,30122,1599,2000
141,1,30123,1599,2000
141,1,30124,1599,2000
141,1,30125,1599,2000
141,1,30126,1599,2000
141,1,30127,1599,2000
141,1,30128,1599,2000
141,1,30129,1599,2000
141,1,30130,1599,2000
141,1,30131,1599,2000
141,1,30132,1599,2000
141,1,30133,1599,2000
141,1,30134,1599,2000
141,1,30135,1599,2000
141,1,30136,1599,2000
141,1,30137,1599,2000
141,1,30138,1599,2000
141,1,30139,1599,2000
141,1,30140,1599,2000
141,1,30141,1599,2000
141,1,30142,1599,2000
141,1,30143,1599,2000
141,1,30144,1599,2000
141,1,30145,1599,2000
141,1,30146,1599,2000
141,1,30147,1599,2000
141,1,30148,1599,2000
141,1,30149,1599,2000
141,1,30150,1599,2000
141,1,30151,1599,2000
141,1,30152,1599,2000
141,1,30153,1599,2000
141,1,30154,1599,2000
141,1,30155,1599,2000
141,1,30156,1599,2000
141,1,30157,1599,2000
141,1,30158,1599,2000
141,1,30159,1599,2000
141,1,30160,1599,2000
141,1,30161,1599,2000
141,1,30162,1599,2000
141,1,30163,1599,2000
141,1,30164,1599,2000
141,1,30165,1599,2000
141,1,30166,1599,2000
141,1,30167,1599,2000
141,1,30168,1599,2000
141,1,30169,1599,2000
141,1,30170,1599,2000
141,1,30171,1599,2000
141,1,30172,1599,2000
141,1,30173,1599,2000
141,1,30174,1599,2000
141,1,30175,1599,2000
141,1,30176,1599,2000
141,1,30177,1599,2000
141,1,30178,1599,2000
141,1,30179,1599,2000
141,1,30180,1599,2000
141,1,30181,1599,2000
141,1,30182,1599,2000
141,1,30183,1599,2000
141,1,30184,1599,2000
141,1,30185,1599,2000
141,1,30186,1599,2000
141,1,30187,1599,2000
141,1,30188,1599,2000
141,1,30189,1599,2000
141,1,30190,1599,2000
141,1,30191,1599,2000
141,1,30192,1599,2000
141,1,30193,1599,2000
141,1,30194,1599,2000
141,1,30195,1599,2000
141,1,30196,1599,2000
141,1,30197,1599,2000
141,1,30198,1599,2000
141,1,30199,1599,2000
141,1,30200,1599,2000
141,1,30201,1599,2000
141,1,30202,1599,2000
141,1,30203,1599,2000
141,1,30204,1599,2000
141,1,30205,1599,2000
141,1,30206,1599,2000
141,1,30207,1599,2000
141,1,30208,1599,2000
141,1,30209,1599,2000
141,1,30210,1599,2000
141,1,30211,1599,2000
141,1,30212,1599,2000
141,1,30213,1599,2000
141,1,30214,1599,2000
141,1,30215,1599,2000
141,1,30216,1599,2000
141,1,30217,1599,2000
141,1,30218,1599,2000
