"","m49","fao"
"1",0,5000
"2",70,80
"3",74,162
"4",80,229
"5",86,24
"6",90,25
"7",92,239
"8",97,252
"9",129,252
"10",136,36
"11",140,37
"12",162,42
"13",166,43
"14",180,250
"15",184,47
"16",203,167
"17",214,56
"18",221,252
"19",230,62
"20",234,64
"21",238,65
"22",239,229
"23",260,71
"24",275,299
"25",278,79
"26",280,79
"27",290,252
"28",334,10
"29",336,94
"30",356,100
"31",364,102
"32",408,116
"33",410,117
"34",418,120
"35",457,131
"36",459,131
"37",461,131
"38",471,252
"39",472,252
"40",473,252
"41",490,214
"42",492,252
"43",498,146
"44",527,252
"45",530,151
"46",532,151
"47",534,280
"48",535,151
"49",536,252
"50",568,252
"51",574,161
"52",577,252
"53",580,163
"54",581,231
"55",582,164
"56",583,145
"57",584,127
"58",588,165
"59",590,166
"60",592,166
"61",612,172
"62",636,252
"63",637,252
"64",647,110
"65",652,68
"66",654,187
"67",658,188
"68",697,252
"69",698,100
"70",711,252
"71",717,181
"72",720,249
"73",736,206
"74",760,212
"75",796,224
"76",807,154
"77",810,228
"78",834,215
"79",835,215
"80",836,215
"81",837,252
"82",838,252
"83",839,252
"84",841,231
"85",842,231
"86",849,231
"87",850,240
"88",862,236
"89",866,237
"90",868,237
"91",876,243
"92",879,252
"93",886,249
"94",890,248
"95",899,252
"96",4,2
"97",8,3
"98",12,4
"99",16,5
"100",20,6
"101",24,7
"102",660,258
"103",10,30
"104",28,8
"105",32,9
"106",51,1
"107",533,22
"108",36,10
"109",40,11
"110",31,52
"111",44,12
"112",48,13
"113",50,16
"114",52,14
"115",112,57
"116",56,255
"117",58,15
"118",84,23
"119",204,53
"120",60,17
"121",64,18
"122",68,19
"123",72,20
"124",76,21
"125",96,26
"126",100,27
"127",854,233
"128",108,29
"129",132,35
"130",116,115
"131",120,32
"132",124,33
"133",148,39
"134",152,40
"135",156,41
"136",344,96
"137",446,128
"138",170,44
"139",174,45
"140",178,46
"141",188,48
"142",384,107
"143",191,98
"144",192,49
"145",531,279
"146",196,50
"147",200,51
"148",208,54
"149",262,72
"150",212,55
"151",218,58
"152",818,59
"153",222,60
"154",226,61
"155",232,178
"156",233,63
"157",231,238
"158",242,66
"159",246,67
"160",251,68
"161",254,69
"162",258,70
"163",266,74
"164",270,75
"165",268,73
"166",276,79
"167",288,81
"168",292,82
"169",300,84
"170",304,85
"171",308,86
"172",312,87
"173",316,88
"174",320,89
"175",324,90
"176",624,175
"177",328,91
"178",332,93
"179",340,95
"180",348,97
"181",352,99
"182",699,100
"183",360,101
"184",368,103
"185",372,104
"186",376,105
"187",381,106
"188",388,109
"189",392,110
"190",400,112
"191",398,108
"192",404,114
"193",296,83
"194",414,118
"195",417,113
"196",428,119
"197",422,121
"198",426,122
"199",430,123
"200",434,124
"201",440,126
"202",442,256
"203",450,129
"204",454,130
"205",458,131
"206",462,132
"207",466,133
"208",470,134
"209",474,135
"210",478,136
"211",480,137
"212",175,270
"213",484,138
"214",496,141
"215",499,273
"216",500,142
"217",504,143
"218",508,144
"219",104,28
"220",516,147
"221",520,148
"222",524,149
"223",528,150
"224",540,153
"225",554,156
"226",558,157
"227",562,158
"228",566,159
"229",570,160
"230",579,162
"231",512,221
"232",586,165
"233",585,180
"234",591,166
"235",598,168
"236",600,169
"237",604,170
"238",608,171
"239",616,173
"240",620,174
"241",634,179
"242",638,182
"243",642,183
"244",643,185
"245",646,184
"246",659,188
"247",662,189
"248",666,190
"249",670,191
"250",882,244
"251",674,192
"252",678,193
"253",682,194
"254",686,195
"255",688,272
"256",891,186
"257",690,196
"258",694,197
"259",702,200
"260",703,199
"261",705,198
"262",706,201
"263",710,202
"264",728,277
"265",724,203
"266",144,38
"267",729,276
"268",740,207
"269",748,209
"270",752,210
"271",757,211
"272",762,208
"273",764,216
"274",626,176
"275",768,217
"276",772,218
"277",776,219
"278",780,220
"279",788,222
"280",792,223
"281",795,213
"282",798,227
"283",800,226
"284",804,230
"285",784,225
"286",826,229
"287",858,234
"288",860,235
"289",548,155
"290",704,237
"291",732,205
"292",887,249
"293",894,251
"294",716,181
"295",158,214
