hs2012_code,ex_code,faostat_code,faostat_name,unit
10121,,1096,HORSES,HEADS
10129,,1096,HORSES,HEADS
10130,,1107,ASSES,HEADS
10190,,1110,MULES,HEADS
10221,,866,CATTLE,HEADS
10229,,866,CATTLE,HEADS
10231,,946,BUFFALOES,HEADS
10239,,946,BUFFALOES,HEADS
10290,,866,CATTLE,HEADS
10290,,946,BUFFALOES,HEADS
10310,,1034,PIGS,HEADS
10391,,1034,PIGS,HEADS
10392,,1034,PIGS,HEADS
10410,,976,SHEEP,HEADS
10420,,1016,GOATS,HEADS
10511,,1057,CHICKENS,1000 HEADS
10512,,1079,TURKEYS,1000 HEADS
10513,,1068,DUCKS,1000 HEADS
10514,,1072,GEESE,1000 HEADS
10515,,1057,CHICKENS,1000 HEADS
10594,,1057,CHICKENS,1000 HEADS
10599,,1057,CHICKENS,1000 HEADS
10599,,1068,DUCKS,1000 HEADS
10599,,1072,GEESE,1000 HEADS
10599,,1079,TURKEYS,1000 HEADS
10611,,1169,LIVE ANIMALS NON FOOD,$ VALUE only
10611,,1171,ANIMALS LIVE NES,$ VALUE only
10612,,1169,LIVE ANIMALS NON FOOD,$ VALUE only
10612,,1171,ANIMALS LIVE NES,$ VALUE only
10613,,1126,CAMELS,HEADS
10613,,1157,OTHER CAMELIDS,HEADS
10614,,1140,RABBITS,1000 HEADS
10619,,1150,OTHER RODENTS,HEADS
10619,,1169,LIVE ANIMALS NON FOOD,$ VALUE only
10619,,1171,ANIMALS LIVE NES,$ VALUE only
10620,,1169,LIVE ANIMALS NON FOOD,$ VALUE only
10620,,1171,ANIMALS LIVE NES,$ VALUE only
10631,,1169,LIVE ANIMALS NON FOOD,$ VALUE only
10631,,1171,ANIMALS LIVE NES,$ VALUE only
10632,,1169,LIVE ANIMALS NON FOOD,$ VALUE only
10632,,1171,ANIMALS LIVE NES,$ VALUE only
10633,,1171,ANIMALS LIVE NES,$ VALUE only
10639,,1083,"PIGEONS, OTHER BIRDS",1000 HEADS
10639,,1169,LIVE ANIMALS NON FOOD,$ VALUE only
10639,,1171,ANIMALS LIVE NES,$ VALUE only
10641,,1181,BEEHIVES,NUMBER
10649,,1169,LIVE ANIMALS NON FOOD,$ VALUE only
10649,,1171,ANIMALS LIVE NES,$ VALUE only
10690,,1169,LIVE ANIMALS NON FOOD,$ VALUE only
10690,,1171,ANIMALS LIVE NES,$ VALUE only
20110,,867,MEAT OF CATTLE (BEEF & VEAL BONE-IN),MT
20110,,947,MEAT OF BUFFALOES,MT
20120,,867,MEAT OF CATTLE (BEEF & VEAL BONE-IN),MT
20120,,947,MEAT OF BUFFALOES,MT
20130,,870,"MEAT OF CATTLE, BONELESS (BEEF & VEAL, BONELESS)",MT
20130,,947,MEAT OF BUFFALOES,MT
20210,,867,MEAT OF CATTLE (BEEF & VEAL BONE-IN),MT
20210,,947,MEAT OF BUFFALOES,MT
20220,,867,MEAT OF CATTLE (BEEF & VEAL BONE-IN),MT
20220,,947,MEAT OF BUFFALOES,MT
20230,,870,"MEAT OF CATTLE, BONELESS (BEEF & VEAL, BONELESS)",MT
20230,,947,MEAT OF BUFFALOES,MT
20311,,1035,MEAT OF PIGS (PIGMEAT),MT
20312,,1035,MEAT OF PIGS (PIGMEAT),MT
20319,,1035,MEAT OF PIGS (PIGMEAT),MT
20319,,1038,PORK,MT
20321,,1035,MEAT OF PIGS (PIGMEAT),MT
20322,,1035,MEAT OF PIGS (PIGMEAT),MT
20329,,1035,MEAT OF PIGS (PIGMEAT),MT
20329,,1038,PORK,MT
20410,,977,MEAT OF SHEEP (MUTTON & LAMB),MT
20421,,977,MEAT OF SHEEP (MUTTON & LAMB),MT
20422,,977,MEAT OF SHEEP (MUTTON & LAMB),MT
20423,,977,MEAT OF SHEEP (MUTTON & LAMB),MT
20430,,977,MEAT OF SHEEP (MUTTON & LAMB),MT
20441,,977,MEAT OF SHEEP (MUTTON & LAMB),MT
20442,,977,MEAT OF SHEEP (MUTTON & LAMB),MT
20443,,977,MEAT OF SHEEP (MUTTON & LAMB),MT
20450,,1017,MEAT OF GOATS (GOAT MEAT),MT
20500,,1097,MEAT OF HORSES (HORSE MEAT),MT
20500,,1108,MEAT OF ASSES,MT
20500,,1111,MEAT OF MULES,MT
20610,,868,"OFFALS OF CATTLE, EDIBLE",MT
20610,,948,"OFFALS OF BUFFALOES,EDIBLE",MT
20621,,868,"OFFALS OF CATTLE, EDIBLE",MT
20621,,948,"OFFALS OF BUFFALOES,EDIBLE",MT
20622,,868,"OFFALS OF CATTLE, EDIBLE",MT
20622,,948,"OFFALS OF BUFFALOES,EDIBLE",MT
